 Program jh_bfbm
 Log. density distribution between NTSTART and NTEND
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.20000000000000001     
 BRANCHPROB=   1.0000000000000000E-002
 MEMORY=BOTH
 NT=        16384
 NTSTART=        11468
 NTEND=        16384
 L=   1061.0000000000000     
 IRINIT=           1
 NCONF=        4992
 x is measured from the wall
 ==================================
    ilogbin ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x)) P(ln(x))  P(x)=P(ln(x))/x   x/L  P(x)*L  var  err
       0  -0.230259E+01   0.100000E+00   0.176959E+00   0.176959E+01   0.942507E-04   0.187753E+04   0.120592E+02   0.367461E-02
       1  -0.220989E+01   0.109713E+00   0.183077E+00   0.166870E+01   0.103405E-03   0.177049E+04   0.121297E+02   0.368534E-02
       2  -0.211719E+01   0.120369E+00   0.190433E+00   0.158208E+01   0.113449E-03   0.167858E+04   0.121935E+02   0.369502E-02
       3  -0.202450E+01   0.132060E+00   0.203953E+00   0.154440E+01   0.124468E-03   0.163860E+04   0.132212E+02   0.384758E-02
       4  -0.193180E+01   0.144887E+00   0.212057E+00   0.146361E+01   0.136557E-03   0.155289E+04   0.135437E+02   0.389421E-02
       5  -0.183911E+01   0.158959E+00   0.224897E+00   0.141481E+01   0.149820E-03   0.150111E+04   0.144039E+02   0.401598E-02
       6  -0.174641E+01   0.174399E+00   0.229241E+00   0.131447E+01   0.164372E-03   0.139465E+04   0.136788E+02   0.391359E-02
       7  -0.165372E+01   0.191337E+00   0.236315E+00   0.123507E+01   0.180337E-03   0.131041E+04   0.139471E+02   0.395179E-02
       8  -0.156102E+01   0.209922E+00   0.243198E+00   0.115852E+01   0.197853E-03   0.122919E+04   0.135599E+02   0.389654E-02
       9  -0.146833E+01   0.230311E+00   0.250718E+00   0.108861E+01   0.217070E-03   0.115501E+04   0.137914E+02   0.392967E-02
      10  -0.137563E+01   0.252680E+00   0.246716E+00   0.976395E+00   0.238153E-03   0.103596E+04   0.127540E+02   0.377898E-02
      11  -0.128293E+01   0.277223E+00   0.251272E+00   0.906390E+00   0.261284E-03   0.961680E+03   0.127083E+02   0.377221E-02
      12  -0.119024E+01   0.304149E+00   0.247921E+00   0.815130E+00   0.286662E-03   0.864853E+03   0.119202E+02   0.365337E-02
      13  -0.109754E+01   0.333690E+00   0.244058E+00   0.731392E+00   0.314505E-03   0.776007E+03   0.109412E+02   0.350013E-02
      14  -0.100485E+01   0.366100E+00   0.238397E+00   0.651180E+00   0.345052E-03   0.690902E+03   0.999055E+01   0.334462E-02
      15  -0.912152E+00   0.401659E+00   0.229302E+00   0.570888E+00   0.378566E-03   0.605712E+03   0.859603E+01   0.310242E-02
      16  -0.819457E+00   0.440671E+00   0.221062E+00   0.501648E+00   0.415336E-03   0.532249E+03   0.769874E+01   0.293604E-02
      17  -0.726761E+00   0.483472E+00   0.209841E+00   0.434029E+00   0.455676E-03   0.460505E+03   0.648459E+01   0.269459E-02
      18  -0.634066E+00   0.530431E+00   0.196486E+00   0.370428E+00   0.499935E-03   0.393024E+03   0.542795E+01   0.246530E-02
      19  -0.541370E+00   0.581950E+00   0.185169E+00   0.318187E+00   0.548492E-03   0.337596E+03   0.460468E+01   0.227066E-02
      20  -0.448675E+00   0.638474E+00   0.171233E+00   0.268191E+00   0.601766E-03   0.284551E+03   0.363884E+01   0.201852E-02
      21  -0.355979E+00   0.700487E+00   0.158321E+00   0.226015E+00   0.660214E-03   0.239802E+03   0.290428E+01   0.180331E-02
      22  -0.263284E+00   0.768524E+00   0.147334E+00   0.191711E+00   0.724339E-03   0.203405E+03   0.232361E+01   0.161300E-02
      23  -0.170588E+00   0.843169E+00   0.136016E+00   0.161315E+00   0.794693E-03   0.171156E+03   0.184434E+01   0.143705E-02
      24  -0.778926E-01   0.925064E+00   0.127059E+00   0.137351E+00   0.871879E-03   0.145730E+03   0.150749E+01   0.129921E-02
      25   0.148030E-01   0.101491E+01   0.119646E+00   0.117888E+00   0.956563E-03   0.125079E+03   0.124436E+01   0.118039E-02
      26   0.107498E+00   0.111349E+01   0.113942E+00   0.102329E+00   0.104947E-02   0.108571E+03   0.108979E+01   0.110464E-02
      27   0.200194E+00   0.122164E+01   0.108295E+00   0.886470E-01   0.115140E-02   0.940545E+02   0.945921E+00   0.102915E-02
      28   0.292890E+00   0.134029E+01   0.105568E+00   0.787644E-01   0.126324E-02   0.835691E+02   0.881041E+00   0.993230E-03
      29   0.385585E+00   0.147047E+01   0.103131E+00   0.701345E-01   0.138593E-02   0.744127E+02   0.832781E+00   0.965644E-03
      30   0.478281E+00   0.161330E+01   0.101920E+00   0.631750E-01   0.152054E-02   0.670287E+02   0.811529E+00   0.953243E-03
      31   0.570976E+00   0.176999E+01   0.101514E+00   0.573530E-01   0.166823E-02   0.608515E+02   0.810265E+00   0.952501E-03
      32   0.663672E+00   0.194191E+01   0.101200E+00   0.521137E-01   0.183026E-02   0.552927E+02   0.816373E+00   0.956084E-03
      33   0.756367E+00   0.213052E+01   0.102292E+00   0.480128E-01   0.200803E-02   0.509416E+02   0.841327E+00   0.970586E-03
      34   0.849063E+00   0.233745E+01   0.102905E+00   0.440242E-01   0.220307E-02   0.467097E+02   0.863057E+00   0.983040E-03
      35   0.941758E+00   0.256449E+01   0.103991E+00   0.405504E-01   0.241705E-02   0.430240E+02   0.902057E+00   0.100501E-02
      36   0.103445E+01   0.281357E+01   0.105608E+00   0.375352E-01   0.265181E-02   0.398249E+02   0.948965E+00   0.103081E-02
