Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 16384
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 16384
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 16384
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=14749)= 1344.313951426526
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -5.398600E+04   -5.398600E+03   -4.015877E+00    3.997487E-04    3.643554E-05  
 -5.388600E+04   -5.388600E+03   -4.008439E+00    3.059209E-04    2.788350E-05  
 -5.378600E+04   -5.378600E+03   -4.001000E+00    3.643557E-04    3.320960E-05  
 -5.368600E+04   -5.368600E+03   -3.993561E+00    4.353831E-04    3.968348E-05  
 -5.358600E+04   -5.358600E+03   -3.986122E+00    2.266678E-04    2.065989E-05  
 -5.348600E+04   -5.348600E+03   -3.978684E+00    1.918922E-04    1.749023E-05  
 -5.338600E+04   -5.338600E+03   -3.971245E+00    1.364066E-04    1.243293E-05  
 -5.328600E+04   -5.328600E+03   -3.963806E+00    2.552648E-04    2.326639E-05  
 -5.318600E+04   -5.318600E+03   -3.956367E+00    2.381335E-04    2.170494E-05  
 -5.308600E+04   -5.308600E+03   -3.948929E+00    2.372113E-04    2.162089E-05  
 -5.298600E+04   -5.298600E+03   -3.941490E+00    2.060684E-04    1.878233E-05  
 -5.288600E+04   -5.288600E+03   -3.934051E+00    4.000597E-04    3.646388E-05  
 -5.278600E+04   -5.278600E+03   -3.926613E+00    7.420197E-04    6.763221E-05  
 -5.268600E+04   -5.268600E+03   -3.919174E+00    6.760174E-04    6.161635E-05  
 -5.258600E+04   -5.258600E+03   -3.911735E+00    2.149410E-04    1.959103E-05  
 -5.248600E+04   -5.248600E+03   -3.904296E+00    3.632622E-04    3.310993E-05  
 -5.238600E+04   -5.238600E+03   -3.896858E+00    2.883739E-04    2.628416E-05  
 -5.228600E+04   -5.228600E+03   -3.889419E+00    1.782247E-04    1.624449E-05  
 -5.218600E+04   -5.218600E+03   -3.881980E+00    2.431863E-04    2.216549E-05  
 -5.208600E+04   -5.208600E+03   -3.874541E+00    1.896868E-04    1.728921E-05  
 -5.198600E+04   -5.198600E+03   -3.867103E+00    2.438872E-04    2.222937E-05  
 -5.188600E+04   -5.188600E+03   -3.859664E+00    9.071387E-04    8.268217E-05  
 -5.178600E+04   -5.178600E+03   -3.852225E+00    7.091958E-04    6.464044E-05  
 -5.168600E+04   -5.168600E+03   -3.844786E+00    9.390382E-04    8.558968E-05  
 -5.158600E+04   -5.158600E+03   -3.837348E+00    6.901097E-04    6.290082E-05  
 -5.148600E+04   -5.148600E+03   -3.829909E+00    3.593385E-04    3.275231E-05  
 -5.138600E+04   -5.138600E+03   -3.822470E+00    1.043093E-03    9.507390E-05  
 -5.128600E+04   -5.128600E+03   -3.815031E+00    7.218048E-04    6.578970E-05  
 -5.118600E+04   -5.118600E+03   -3.807593E+00    5.711937E-04    5.206208E-05  
 -5.108600E+04   -5.108600E+03   -3.800154E+00    6.786669E-04    6.185785E-05  
 -5.098600E+04   -5.098600E+03   -3.792715E+00    1.035455E-03    9.437768E-05  
 -5.088600E+04   -5.088600E+03   -3.785276E+00    7.824814E-04    7.132013E-05  
 -5.078600E+04   -5.078600E+03   -3.777838E+00    1.050508E-03    9.574969E-05  
 -5.068600E+04   -5.068600E+03   -3.770399E+00    1.539868E-03    1.403530E-04  
 -5.058600E+04   -5.058600E+03   -3.762960E+00    2.003127E-03    1.825773E-04  
 -5.048600E+04   -5.048600E+03   -3.755522E+00    1.980118E-03    1.804800E-04  
 -5.038600E+04   -5.038600E+03   -3.748083E+00    2.016107E-03    1.837603E-04  
 -5.028600E+04   -5.028600E+03   -3.740644E+00    8.409677E-04    7.665093E-05  
 -5.018600E+04   -5.018600E+03   -3.733205E+00    1.285998E-03    1.172137E-04  
 -5.008600E+04   -5.008600E+03   -3.725767E+00    7.860202E-04    7.164269E-05  
 -4.998600E+04   -4.998600E+03   -3.718328E+00    1.533141E-03    1.397399E-04  
 -4.988600E+04   -4.988600E+03   -3.710889E+00    1.540158E-03    1.403794E-04  
 -4.978600E+04   -4.978600E+03   -3.703450E+00    9.767264E-04    8.902481E-05  
 -4.968600E+04   -4.968600E+03   -3.696012E+00    8.700327E-04    7.930010E-05  
 -4.958600E+04   -4.958600E+03   -3.688573E+00    1.365376E-03    1.244487E-04  
 -4.948600E+04   -4.948600E+03   -3.681134E+00    7.155976E-04    6.522394E-05  
 -4.938600E+04   -4.938600E+03   -3.673695E+00    6.256945E-04    5.702961E-05  
 -4.928600E+04   -4.928600E+03   -3.666257E+00    9.824459E-04    8.954612E-05  
 -4.918600E+04   -4.918600E+03   -3.658818E+00    1.712175E-03    1.560581E-04  
 -4.908600E+04   -4.908600E+03   -3.651379E+00    1.407054E-03    1.282475E-04  
 -4.898600E+04   -4.898600E+03   -3.643940E+00    1.915321E-03    1.745741E-04  
 -4.888600E+04   -4.888600E+03   -3.636502E+00    2.215164E-03    2.019036E-04  
 -4.878600E+04   -4.878600E+03   -3.629063E+00    1.695930E-03    1.545775E-04  
 -4.868600E+04   -4.868600E+03   -3.621624E+00    1.119664E-03    1.020530E-04  
 -4.858600E+04   -4.858600E+03   -3.614186E+00    1.346956E-03    1.227698E-04  
 -4.848600E+04   -4.848600E+03   -3.606747E+00    3.028019E-03    2.759921E-04  
 -4.838600E+04   -4.838600E+03   -3.599308E+00    5.158307E-03    4.701596E-04  
 -4.828600E+04   -4.828600E+03   -3.591869E+00    4.151947E-03    3.784338E-04  
 -4.818600E+04   -4.818600E+03   -3.584431E+00    1.698019E-03    1.547679E-04  
 -4.808600E+04   -4.808600E+03   -3.576992E+00    1.215273E-03    1.107674E-04  
 -4.798600E+04   -4.798600E+03   -3.569553E+00    1.716788E-03    1.564786E-04  
 -4.788600E+04   -4.788600E+03   -3.562114E+00    1.656671E-03    1.509991E-04  
 -4.778600E+04   -4.778600E+03   -3.554676E+00    1.828294E-03    1.666419E-04  
 -4.768600E+04   -4.768600E+03   -3.547237E+00    1.903768E-03    1.735210E-04  
 -4.758600E+04   -4.758600E+03   -3.539798E+00    9.427947E-04    8.593207E-05  
 -4.748600E+04   -4.748600E+03   -3.532359E+00    1.534473E-03    1.398612E-04  
 -4.738600E+04   -4.738600E+03   -3.524921E+00    2.239446E-03    2.041168E-04  
 -4.728600E+04   -4.728600E+03   -3.517482E+00    2.532455E-03    2.308234E-04  
 -4.718600E+04   -4.718600E+03   -3.510043E+00    2.432023E-03    2.216694E-04  
