
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.797729E-01   0.797729E+00   0.942507E-04   0.846390E+03
       1  -0.220989E+01   0.109713E+00   0.866847E-01   0.790106E+00   0.103405E-03   0.838302E+03
       2  -0.211719E+01   0.120369E+00   0.906699E-01   0.753266E+00   0.113449E-03   0.799216E+03
       3  -0.202450E+01   0.132060E+00   0.956545E-01   0.724326E+00   0.124468E-03   0.768510E+03
       4  -0.193180E+01   0.144887E+00   0.100050E+00   0.690540E+00   0.136557E-03   0.732663E+03
       5  -0.183911E+01   0.158959E+00   0.107057E+00   0.673488E+00   0.149820E-03   0.714571E+03
       6  -0.174641E+01   0.174399E+00   0.112038E+00   0.642427E+00   0.164372E-03   0.681615E+03
       7  -0.165372E+01   0.191337E+00   0.117102E+00   0.612020E+00   0.180337E-03   0.649353E+03
       8  -0.156102E+01   0.209922E+00   0.120757E+00   0.575249E+00   0.197853E-03   0.610339E+03
       9  -0.146833E+01   0.230311E+00   0.124419E+00   0.540223E+00   0.217070E-03   0.573177E+03
      10  -0.137563E+01   0.252680E+00   0.128371E+00   0.508036E+00   0.238153E-03   0.539026E+03
      11  -0.128293E+01   0.277223E+00   0.128483E+00   0.463466E+00   0.261284E-03   0.491737E+03
      12  -0.119024E+01   0.304149E+00   0.130762E+00   0.429929E+00   0.286662E-03   0.456155E+03
      13  -0.109754E+01   0.333690E+00   0.132794E+00   0.397956E+00   0.314505E-03   0.422231E+03
      14  -0.100485E+01   0.366100E+00   0.130258E+00   0.355800E+00   0.345052E-03   0.377504E+03
      15  -0.912152E+00   0.401659E+00   0.128142E+00   0.319033E+00   0.378566E-03   0.338494E+03
      16  -0.819457E+00   0.440671E+00   0.126295E+00   0.286598E+00   0.415336E-03   0.304081E+03
      17  -0.726761E+00   0.483472E+00   0.122567E+00   0.253513E+00   0.455676E-03   0.268977E+03
      18  -0.634066E+00   0.530431E+00   0.119791E+00   0.225837E+00   0.499935E-03   0.239613E+03
      19  -0.541370E+00   0.581950E+00   0.114762E+00   0.197202E+00   0.548492E-03   0.209232E+03
      20  -0.448675E+00   0.638474E+00   0.109738E+00   0.171876E+00   0.601766E-03   0.182360E+03
      21  -0.355979E+00   0.700487E+00   0.104202E+00   0.148756E+00   0.660214E-03   0.157830E+03
      22  -0.263284E+00   0.768524E+00   0.996534E-01   0.129669E+00   0.724339E-03   0.137578E+03
      23  -0.170588E+00   0.843169E+00   0.948456E-01   0.112487E+00   0.794693E-03   0.119349E+03
      24  -0.778926E-01   0.925064E+00   0.917332E-01   0.991642E-01   0.871879E-03   0.105213E+03
      25   0.148030E-01   0.101491E+01   0.886943E-01   0.873911E-01   0.956563E-03   0.927219E+02
      26   0.107498E+00   0.111349E+01   0.853293E-01   0.766324E-01   0.104947E-02   0.813069E+02
      27   0.200194E+00   0.122164E+01   0.842469E-01   0.689622E-01   0.115140E-02   0.731688E+02
      28   0.292890E+00   0.134029E+01   0.832261E-01   0.620954E-01   0.126324E-02   0.658832E+02
      29   0.385585E+00   0.147047E+01   0.831180E-01   0.565246E-01   0.138593E-02   0.599726E+02
      30   0.478281E+00   0.161330E+01   0.835001E-01   0.517574E-01   0.152054E-02   0.549146E+02
      31   0.570976E+00   0.176999E+01   0.847101E-01   0.478590E-01   0.166823E-02   0.507784E+02
      32   0.663672E+00   0.194191E+01   0.869081E-01   0.447539E-01   0.183026E-02   0.474839E+02
      33   0.756367E+00   0.213052E+01   0.896185E-01   0.420641E-01   0.200803E-02   0.446300E+02
      34   0.849063E+00   0.233745E+01   0.930208E-01   0.397958E-01   0.220307E-02   0.422233E+02
      35   0.941758E+00   0.256449E+01   0.961558E-01   0.374951E-01   0.241705E-02   0.397824E+02
      36   0.103445E+01   0.281357E+01   0.100787E+00   0.358217E-01   0.265181E-02   0.380068E+02
      37   0.112715E+01   0.308684E+01   0.105381E+00   0.341387E-01   0.290937E-02   0.362212E+02
      38   0.121984E+01   0.338666E+01   0.110768E+00   0.327070E-01   0.319195E-02   0.347021E+02
      39   0.131254E+01   0.371560E+01   0.116647E+00   0.313939E-01   0.350198E-02   0.333089E+02
      40   0.140524E+01   0.407649E+01   0.122513E+00   0.300536E-01   0.384212E-02   0.318869E+02
      41   0.149793E+01   0.447243E+01   0.128802E+00   0.287992E-01   0.421529E-02   0.305560E+02
      42   0.159063E+01   0.490682E+01   0.136700E+00   0.278593E-01   0.462472E-02   0.295587E+02
      43   0.168332E+01   0.538341E+01   0.144085E+00   0.267647E-01   0.507390E-02   0.283973E+02
      44   0.177602E+01   0.590629E+01   0.153658E+00   0.260160E-01   0.556672E-02   0.276029E+02
      45   0.186871E+01   0.647995E+01   0.162690E+00   0.251066E-01   0.610740E-02   0.266381E+02
      46   0.196141E+01   0.710934E+01   0.172541E+00   0.242696E-01   0.670060E-02   0.257501E+02
      47   0.205410E+01   0.779985E+01   0.183292E+00   0.234994E-01   0.735141E-02   0.249329E+02
      48   0.214680E+01   0.855743E+01   0.195454E+00   0.228402E-01   0.806544E-02   0.242335E+02
      49   0.223950E+01   0.938859E+01   0.209122E+00   0.222740E-01   0.884882E-02   0.236327E+02
      50   0.233219E+01   0.103005E+02   0.223548E+00   0.217027E-01   0.970828E-02   0.230266E+02
      51   0.242489E+01   0.113009E+02   0.238755E+00   0.211270E-01   0.106512E-01   0.224157E+02
      52   0.251758E+01   0.123986E+02   0.254630E+00   0.205370E-01   0.116858E-01   0.217898E+02
      53   0.261028E+01   0.136028E+02   0.273487E+00   0.201052E-01   0.128208E-01   0.213316E+02
      54   0.270297E+01   0.149240E+02   0.292628E+00   0.196078E-01   0.140660E-01   0.208039E+02
      55   0.279567E+01   0.163736E+02   0.314491E+00   0.192072E-01   0.154322E-01   0.203789E+02
      56   0.288836E+01   0.179639E+02   0.337915E+00   0.188108E-01   0.169311E-01   0.199582E+02
      57   0.298106E+01   0.197087E+02   0.364936E+00   0.185165E-01   0.185756E-01   0.196460E+02
      58   0.307376E+01   0.216229E+02   0.393364E+00   0.181920E-01   0.203798E-01   0.193017E+02
      59   0.316645E+01   0.237231E+02   0.421831E+00   0.177814E-01   0.223592E-01   0.188661E+02
      60   0.325915E+01   0.260273E+02   0.456125E+00   0.175249E-01   0.245309E-01   0.185939E+02
      61   0.335184E+01   0.285553E+02   0.494325E+00   0.173112E-01   0.269136E-01   0.183671E+02
      62   0.344454E+01   0.313288E+02   0.535279E+00   0.170859E-01   0.295276E-01   0.181281E+02
      63   0.353723E+01   0.343717E+02   0.582029E+00   0.169334E-01   0.323955E-01   0.179663E+02
      64   0.362993E+01   0.377101E+02   0.634209E+00   0.168180E-01   0.355420E-01   0.178439E+02
      65   0.372262E+01   0.413728E+02   0.686231E+00   0.165865E-01   0.389942E-01   0.175983E+02
      66   0.381532E+01   0.453913E+02   0.744073E+00   0.163924E-01   0.427816E-01   0.173924E+02
      67   0.390801E+01   0.498000E+02   0.813147E+00   0.163282E-01   0.469368E-01   0.173243E+02
      68   0.400071E+01   0.546370E+02   0.884819E+00   0.161945E-01   0.514957E-01   0.171824E+02
      69   0.409341E+01   0.599437E+02   0.972030E+00   0.162157E-01   0.564974E-01   0.172049E+02
      70   0.418610E+01   0.657659E+02   0.106268E+01   0.161585E-01   0.619848E-01   0.171442E+02
      71   0.427880E+01   0.721536E+02   0.116099E+01   0.160905E-01   0.680053E-01   0.170721E+02
      72   0.437149E+01   0.791617E+02   0.126340E+01   0.159597E-01   0.746105E-01   0.169333E+02
      73   0.446419E+01   0.868505E+02   0.137988E+01   0.158879E-01   0.818572E-01   0.168571E+02
      74   0.455688E+01   0.952861E+02   0.150736E+01   0.158193E-01   0.898078E-01   0.167842E+02
      75   0.464958E+01   0.104541E+03   0.165185E+01   0.158010E-01   0.985306E-01   0.167648E+02
      76   0.474227E+01   0.114695E+03   0.180679E+01   0.157531E-01   0.108101E+00   0.167140E+02
      77   0.483497E+01   0.125835E+03   0.198157E+01   0.157474E-01   0.118600E+00   0.167080E+02
      78   0.492767E+01   0.138057E+03   0.218004E+01   0.157909E-01   0.130120E+00   0.167541E+02
      79   0.502036E+01   0.151466E+03   0.239855E+01   0.158356E-01   0.142758E+00   0.168015E+02
      80   0.511306E+01   0.166178E+03   0.261189E+01   0.157175E-01   0.156623E+00   0.166762E+02
      81   0.520575E+01   0.182318E+03   0.286259E+01   0.157011E-01   0.171836E+00   0.166589E+02
      82   0.529845E+01   0.200026E+03   0.314797E+01   0.157378E-01   0.188526E+00   0.166978E+02
      83   0.539114E+01   0.219454E+03   0.345097E+01   0.157252E-01   0.206837E+00   0.166845E+02
      84   0.548384E+01   0.240769E+03   0.377073E+01   0.156612E-01   0.226927E+00   0.166165E+02
      85   0.557653E+01   0.264155E+03   0.412388E+01   0.156116E-01   0.248968E+00   0.165639E+02
      86   0.566923E+01   0.289811E+03   0.452952E+01   0.156292E-01   0.273149E+00   0.165826E+02
      87   0.576193E+01   0.317960E+03   0.493390E+01   0.155174E-01   0.299679E+00   0.164639E+02
      88   0.585462E+01   0.348843E+03   0.540522E+01   0.154947E-01   0.328787E+00   0.164399E+02
      89   0.594732E+01   0.382725E+03   0.589075E+01   0.153916E-01   0.360721E+00   0.163305E+02
      90   0.604001E+01   0.419898E+03   0.640968E+01   0.152649E-01   0.395757E+00   0.161960E+02
      91   0.613271E+01   0.460682E+03   0.695280E+01   0.150924E-01   0.434196E+00   0.160131E+02
      92   0.622540E+01   0.505427E+03   0.757351E+01   0.149844E-01   0.476368E+00   0.158984E+02
      93   0.631810E+01   0.554518E+03   0.840706E+01   0.151610E-01   0.522637E+00   0.160858E+02
      94   0.641079E+01   0.608377E+03   0.921151E+01   0.151411E-01   0.573399E+00   0.160647E+02
      95   0.650349E+01   0.667467E+03   0.101657E+02   0.152302E-01   0.629092E+00   0.161593E+02
      96   0.659619E+01   0.732296E+03   0.113029E+02   0.154348E-01   0.690194E+00   0.163764E+02
      97   0.668888E+01   0.803422E+03   0.126998E+02   0.158072E-01   0.757231E+00   0.167714E+02
      98   0.678158E+01   0.881457E+03   0.141648E+02   0.160697E-01   0.830779E+00   0.170500E+02
      99   0.687427E+01   0.967071E+03   0.162963E+02   0.168512E-01   0.911471E+00   0.178792E+02
     100   0.696697E+01   0.106100E+04   0.150371E+02   0.141726E-01   0.100000E+01   0.150371E+02
