Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 8388608
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 480
IRINIT= 1
NCONF= 30720
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 8388608
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 8379608
NTEND= 8388608
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=7551573)= 9939.914486553695
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -1.973540E+05   -1.973540E+04   -1.985470E+00    4.848463E-06    4.819331E-02  
 -1.973440E+05   -1.973440E+04   -1.985369E+00    4.153151E-05    4.128196E-01  
 -1.973340E+05   -1.973340E+04   -1.985269E+00    5.977682E-05    5.941765E-01  
 -1.973240E+05   -1.973240E+04   -1.985168E+00    1.155389E-04    1.148447E+00  
 -1.973140E+05   -1.973140E+04   -1.985067E+00    1.877784E-04    1.866501E+00  
 -1.973040E+05   -1.973040E+04   -1.984967E+00    1.722646E-04    1.712295E+00  
 -1.972940E+05   -1.972940E+04   -1.984866E+00    1.061155E-04    1.054779E+00  
 -1.972840E+05   -1.972840E+04   -1.984766E+00    1.859927E-04    1.848752E+00  
 -1.972740E+05   -1.972740E+04   -1.984665E+00    2.443067E-04    2.428387E+00  
 -1.972640E+05   -1.972640E+04   -1.984564E+00    2.075461E-04    2.062991E+00  
 -1.972540E+05   -1.972540E+04   -1.984464E+00    2.934374E-04    2.916743E+00  
 -1.972440E+05   -1.972440E+04   -1.984363E+00    4.314865E-04    4.288939E+00  
 -1.972340E+05   -1.972340E+04   -1.984263E+00    6.288163E-04    6.250380E+00  
 -1.972240E+05   -1.972240E+04   -1.984162E+00    6.816158E-04    6.775203E+00  
 -1.972140E+05   -1.972140E+04   -1.984061E+00    6.231287E-04    6.193846E+00  
 -1.972040E+05   -1.972040E+04   -1.983961E+00    5.514687E-04    5.481551E+00  
 -1.971940E+05   -1.971940E+04   -1.983860E+00    5.564141E-04    5.530709E+00  
 -1.971840E+05   -1.971840E+04   -1.983760E+00    9.615540E-04    9.557765E+00  
 -1.971740E+05   -1.971740E+04   -1.983659E+00    1.030232E-03    1.024041E+01  
 -1.971640E+05   -1.971640E+04   -1.983558E+00    9.179262E-04    9.124108E+00  
 -1.971540E+05   -1.971540E+04   -1.983458E+00    7.483872E-04    7.438905E+00  
 -1.971440E+05   -1.971440E+04   -1.983357E+00    6.252479E-04    6.214911E+00  
 -1.971340E+05   -1.971340E+04   -1.983256E+00    6.495025E-04    6.456000E+00  
 -1.971240E+05   -1.971240E+04   -1.983156E+00    9.034895E-04    8.980608E+00  
 -1.971140E+05   -1.971140E+04   -1.983055E+00    1.096937E-03    1.090346E+01  
 -1.971040E+05   -1.971040E+04   -1.982955E+00    1.231239E-03    1.223841E+01  
 -1.970940E+05   -1.970940E+04   -1.982854E+00    1.323531E-03    1.315579E+01  
 -1.970840E+05   -1.970840E+04   -1.982753E+00    1.140336E-03    1.133484E+01  
 -1.970740E+05   -1.970740E+04   -1.982653E+00    1.234420E-03    1.227003E+01  
 -1.970640E+05   -1.970640E+04   -1.982552E+00    1.681798E-03    1.671693E+01  
 -1.970540E+05   -1.970540E+04   -1.982452E+00    1.952089E-03    1.940360E+01  
 -1.970440E+05   -1.970440E+04   -1.982351E+00    1.994039E-03    1.982058E+01  
 -1.970340E+05   -1.970340E+04   -1.982250E+00    2.293805E-03    2.280022E+01  
 -1.970240E+05   -1.970240E+04   -1.982150E+00    2.372716E-03    2.358460E+01  
