Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 16384
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 16384
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 16384
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=14749)= 166.9413070513107
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -5.733000E+03   -5.733000E+02   -3.434141E+00    1.015644E-05    1.149590E-07  
 -5.723000E+03   -5.723000E+02   -3.428151E+00    6.743879E-05    7.633277E-07  
 -5.713000E+03   -5.713000E+02   -3.422161E+00    2.726569E-04    3.086155E-06  
 -5.703000E+03   -5.703000E+02   -3.416171E+00    5.027390E-04    5.690413E-06  
 -5.693000E+03   -5.693000E+02   -3.410181E+00    3.735625E-04    4.228288E-06  
 -5.683000E+03   -5.683000E+02   -3.404190E+00    3.514115E-04    3.977564E-06  
 -5.673000E+03   -5.673000E+02   -3.398200E+00    5.293811E-04    5.991970E-06  
 -5.663000E+03   -5.663000E+02   -3.392210E+00    6.130213E-04    6.938678E-06  
 -5.653000E+03   -5.653000E+02   -3.386220E+00    6.602244E-04    7.472963E-06  
 -5.643000E+03   -5.643000E+02   -3.380230E+00    6.307454E-04    7.139295E-06  
 -5.633000E+03   -5.633000E+02   -3.374240E+00    7.153113E-04    8.096482E-06  
 -5.623000E+03   -5.623000E+02   -3.368250E+00    6.038726E-04    6.835127E-06  
 -5.613000E+03   -5.613000E+02   -3.362260E+00    8.729670E-04    9.880959E-06  
 -5.603000E+03   -5.603000E+02   -3.356269E+00    8.057638E-04    9.120298E-06  
 -5.593000E+03   -5.593000E+02   -3.350279E+00    3.775932E-04    4.273910E-06  
 -5.583000E+03   -5.583000E+02   -3.344289E+00    4.912959E-04    5.560890E-06  
 -5.573000E+03   -5.573000E+02   -3.338299E+00    8.827949E-04    9.992198E-06  
 -5.563000E+03   -5.563000E+02   -3.332309E+00    1.418547E-03    1.605629E-05  
 -5.553000E+03   -5.553000E+02   -3.326319E+00    1.009502E-03    1.142638E-05  
 -5.543000E+03   -5.543000E+02   -3.320329E+00    9.205314E-04    1.041933E-05  
 -5.533000E+03   -5.533000E+02   -3.314338E+00    8.809360E-04    9.971157E-06  
 -5.523000E+03   -5.523000E+02   -3.308348E+00    6.502320E-04    7.359860E-06  
 -5.513000E+03   -5.513000E+02   -3.302358E+00    1.259850E-03    1.426002E-05  
 -5.503000E+03   -5.503000E+02   -3.296368E+00    1.630861E-03    1.845942E-05  
 -5.493000E+03   -5.493000E+02   -3.290378E+00    1.040336E-03    1.177538E-05  
 -5.483000E+03   -5.483000E+02   -3.284388E+00    6.902235E-04    7.812518E-06  
 -5.473000E+03   -5.473000E+02   -3.278398E+00    7.411189E-04    8.388593E-06  
 -5.463000E+03   -5.463000E+02   -3.272408E+00    5.757195E-04    6.516467E-06  
 -5.453000E+03   -5.453000E+02   -3.266417E+00    5.042168E-04    5.707140E-06  
 -5.443000E+03   -5.443000E+02   -3.260427E+00    7.137125E-04    8.078385E-06  
 -5.433000E+03   -5.433000E+02   -3.254437E+00    6.780760E-04    7.675022E-06  
 -5.423000E+03   -5.423000E+02   -3.248447E+00    6.401268E-04    7.245481E-06  
 -5.413000E+03   -5.413000E+02   -3.242457E+00    5.872715E-04    6.647222E-06  
 -5.403000E+03   -5.403000E+02   -3.236467E+00    4.120808E-04    4.664269E-06  
 -5.393000E+03   -5.393000E+02   -3.230477E+00    6.732481E-04    7.620376E-06  
 -5.383000E+03   -5.383000E+02   -3.224487E+00    9.563214E-04    1.082443E-05  
 -5.373000E+03   -5.373000E+02   -3.218496E+00    1.453713E-03    1.645432E-05  
 -5.363000E+03   -5.363000E+02   -3.212506E+00    1.985202E-03    2.247015E-05  
 -5.353000E+03   -5.353000E+02   -3.206516E+00    2.012346E-03    2.277738E-05  
 -5.343000E+03   -5.343000E+02   -3.200526E+00    2.456962E-03    2.780992E-05  
 -5.333000E+03   -5.333000E+02   -3.194536E+00    2.233611E-03    2.528185E-05  
 -5.323000E+03   -5.323000E+02   -3.188546E+00    1.781834E-03    2.016826E-05  
 -5.313000E+03   -5.313000E+02   -3.182556E+00    1.786200E-03    2.021769E-05  
 -5.303000E+03   -5.303000E+02   -3.176566E+00    1.889956E-03    2.139208E-05  
 -5.293000E+03   -5.293000E+02   -3.170575E+00    1.798422E-03    2.035601E-05  
 -5.283000E+03   -5.283000E+02   -3.164585E+00    1.950311E-03    2.207522E-05  
 -5.273000E+03   -5.273000E+02   -3.158595E+00    2.137269E-03    2.419136E-05  
 -5.263000E+03   -5.263000E+02   -3.152605E+00    2.839304E-03    3.213758E-05  
 -5.253000E+03   -5.253000E+02   -3.146615E+00    3.416046E-03    3.866562E-05  
 -5.243000E+03   -5.243000E+02   -3.140625E+00    4.095068E-03    4.635135E-05  
 -5.233000E+03   -5.233000E+02   -3.134635E+00    4.877006E-03    5.520196E-05  
 -5.223000E+03   -5.223000E+02   -3.128644E+00    4.021977E-03    4.552404E-05  
 -5.213000E+03   -5.213000E+02   -3.122654E+00    4.024954E-03    4.555773E-05  
 -5.203000E+03   -5.203000E+02   -3.116664E+00    3.268329E-03    3.699363E-05  
 -5.193000E+03   -5.193000E+02   -3.110674E+00    2.735610E-03    3.096388E-05  
 -5.183000E+03   -5.183000E+02   -3.104684E+00    2.428327E-03    2.748580E-05  
 -5.173000E+03   -5.173000E+02   -3.098694E+00    2.436385E-03    2.757701E-05  
 -5.163000E+03   -5.163000E+02   -3.092704E+00    2.338492E-03    2.646898E-05  
 -5.153000E+03   -5.153000E+02   -3.086714E+00    3.253091E-03    3.682116E-05  
 -5.143000E+03   -5.143000E+02   -3.080723E+00    3.582450E-03    4.054912E-05  
 -5.133000E+03   -5.133000E+02   -3.074733E+00    3.748307E-03    4.242642E-05  
 -5.123000E+03   -5.123000E+02   -3.068743E+00    3.563685E-03    4.033672E-05  
 -5.113000E+03   -5.113000E+02   -3.062753E+00    3.190758E-03    3.611562E-05  
 -5.103000E+03   -5.103000E+02   -3.056763E+00    2.736945E-03    3.097899E-05  
 -5.093000E+03   -5.093000E+02   -3.050773E+00    1.752142E-03    1.983218E-05  
 -5.083000E+03   -5.083000E+02   -3.044783E+00    1.999146E-03    2.262798E-05  
 -5.073000E+03   -5.073000E+02   -3.038793E+00    2.330812E-03    2.638204E-05  
 -5.063000E+03   -5.063000E+02   -3.032802E+00    2.638784E-03    2.986792E-05  
 -5.053000E+03   -5.053000E+02   -3.026812E+00    2.492586E-03    2.821314E-05  
 -5.043000E+03   -5.043000E+02   -3.020822E+00    3.027424E-03    3.426687E-05  
 -5.033000E+03   -5.033000E+02   -3.014832E+00    3.639284E-03    4.119241E-05  
 -5.023000E+03   -5.023000E+02   -3.008842E+00    3.856012E-03    4.364552E-05  
 -5.013000E+03   -5.013000E+02   -3.002852E+00    4.020554E-03    4.550793E-05  
 -5.003000E+03   -5.003000E+02   -2.996862E+00    4.139510E-03    4.685438E-05  
 -4.993000E+03   -4.993000E+02   -2.990872E+00    5.089470E-03    5.760680E-05  
 -4.983000E+03   -4.983000E+02   -2.984881E+00    5.130762E-03    5.807418E-05  
 -4.973000E+03   -4.973000E+02   -2.978891E+00    4.460025E-03    5.048223E-05  
 -4.963000E+03   -4.963000E+02   -2.972901E+00    3.775153E-03    4.273028E-05  
 -4.953000E+03   -4.953000E+02   -2.966911E+00    2.514672E-03    2.846312E-05  
 -4.943000E+03   -4.943000E+02   -2.960921E+00    2.475181E-03    2.801614E-05  
 -4.933000E+03   -4.933000E+02   -2.954931E+00    2.855378E-03    3.231951E-05  
 -4.923000E+03   -4.923000E+02   -2.948941E+00    3.786038E-03    4.285349E-05  
 -4.913000E+03   -4.913000E+02   -2.942950E+00    4.329209E-03    4.900155E-05  
 -4.903000E+03   -4.903000E+02   -2.936960E+00    4.235719E-03    4.794335E-05  
