Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 16384
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 1080
IRINIT= 1
NCONF= 69120
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 16384
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 16374
NTEND= 16384
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=14749)= 166.0752841334315
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -5.974000E+03   -5.974000E+02   -3.597164E+00    1.146541E-06    1.904121E-04  
 -5.964000E+03   -5.964000E+02   -3.591142E+00    8.843149E-06    1.468628E-03  
 -5.954000E+03   -5.954000E+02   -3.585121E+00    1.084613E-05    1.801274E-03  
 -5.944000E+03   -5.944000E+02   -3.579100E+00    1.424045E-05    2.364987E-03  
 -5.934000E+03   -5.934000E+02   -3.573078E+00    2.075990E-05    3.447706E-03  
 -5.924000E+03   -5.924000E+02   -3.567057E+00    1.836264E-05    3.049580E-03  
 -5.914000E+03   -5.914000E+02   -3.561036E+00    5.126071E-06    8.513137E-04  
 -5.904000E+03   -5.904000E+02   -3.555014E+00    8.983502E-08    1.491938E-05  
 -5.894000E+03   -5.894000E+02   -3.548993E+00    0.000000E+00    0.000000E+00  
 -5.884000E+03   -5.884000E+02   -3.542972E+00    0.000000E+00    0.000000E+00  
 -5.874000E+03   -5.874000E+02   -3.536950E+00    0.000000E+00    0.000000E+00  
 -5.864000E+03   -5.864000E+02   -3.530929E+00    0.000000E+00    0.000000E+00  
 -5.854000E+03   -5.854000E+02   -3.524907E+00    0.000000E+00    0.000000E+00  
 -5.844000E+03   -5.844000E+02   -3.518886E+00    0.000000E+00    0.000000E+00  
 -5.834000E+03   -5.834000E+02   -3.512865E+00    0.000000E+00    0.000000E+00  
 -5.824000E+03   -5.824000E+02   -3.506843E+00    0.000000E+00    0.000000E+00  
 -5.814000E+03   -5.814000E+02   -3.500822E+00    0.000000E+00    0.000000E+00  
 -5.804000E+03   -5.804000E+02   -3.494801E+00    0.000000E+00    0.000000E+00  
 -5.794000E+03   -5.794000E+02   -3.488779E+00    0.000000E+00    0.000000E+00  
 -5.784000E+03   -5.784000E+02   -3.482758E+00    0.000000E+00    0.000000E+00  
