Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 1048576
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 1048576
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 1048576
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=943947)= 30292.42479564817
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -1.202389E+06   -1.202389E+05   -3.969273E+00    5.581356E-04    1.791126E-05  
 -1.202289E+06   -1.202289E+05   -3.968943E+00    3.073963E-04    9.864726E-06  
 -1.202189E+06   -1.202189E+05   -3.968613E+00    2.633743E-04    8.452007E-06  
 -1.202089E+06   -1.202089E+05   -3.968283E+00    2.540281E-04    8.152077E-06  
 -1.201989E+06   -1.201989E+05   -3.967952E+00    1.572059E-04    5.044933E-06  
 -1.201889E+06   -1.201889E+05   -3.967622E+00    2.015744E-04    6.468771E-06  
 -1.201789E+06   -1.201789E+05   -3.967292E+00    2.459624E-04    7.893238E-06  
 -1.201689E+06   -1.201689E+05   -3.966962E+00    2.258571E-04    7.248033E-06  
 -1.201589E+06   -1.201589E+05   -3.966632E+00    4.129640E-05    1.325252E-06  
 -1.201489E+06   -1.201489E+05   -3.966302E+00    1.032173E-04    3.312371E-06  
 -1.201389E+06   -1.201389E+05   -3.965972E+00    1.006062E-04    3.228578E-06  
 -1.201289E+06   -1.201289E+05   -3.965642E+00    7.848734E-05    2.518756E-06  
 -1.201189E+06   -1.201189E+05   -3.965311E+00    4.135851E-05    1.327246E-06  
 -1.201089E+06   -1.201089E+05   -3.964981E+00    9.158483E-05    2.939070E-06  
 -1.200989E+06   -1.200989E+05   -3.964651E+00    6.561655E-05    2.105716E-06  
 -1.200889E+06   -1.200889E+05   -3.964321E+00    7.558666E-05    2.425669E-06  
 -1.200789E+06   -1.200789E+05   -3.963991E+00    2.783006E-04    8.931010E-06  
 -1.200689E+06   -1.200689E+05   -3.963661E+00    9.999350E-05    3.208915E-06  
 -1.200589E+06   -1.200589E+05   -3.963331E+00    3.098135E-04    9.942298E-06  
 -1.200489E+06   -1.200489E+05   -3.963001E+00    2.328286E-04    7.471758E-06  
 -1.200389E+06   -1.200389E+05   -3.962671E+00    2.305569E-04    7.398854E-06  
 -1.200289E+06   -1.200289E+05   -3.962340E+00    5.044632E-04    1.618885E-05  
 -1.200189E+06   -1.200189E+05   -3.962010E+00    1.131760E-03    3.631958E-05  
 -1.200089E+06   -1.200089E+05   -3.961680E+00    9.784721E-04    3.140038E-05  
 -1.199989E+06   -1.199989E+05   -3.961350E+00    4.979268E-04    1.597909E-05  
 -1.199889E+06   -1.199889E+05   -3.961020E+00    8.695903E-04    2.790623E-05  
 -1.199789E+06   -1.199789E+05   -3.960690E+00    6.006021E-04    1.927406E-05  
 -1.199689E+06   -1.199689E+05   -3.960360E+00    1.069065E-03    3.430763E-05  
 -1.199589E+06   -1.199589E+05   -3.960030E+00    5.334917E-04    1.712041E-05  
 -1.199489E+06   -1.199489E+05   -3.959700E+00    8.438555E-04    2.708037E-05  
 -1.199389E+06   -1.199389E+05   -3.959369E+00    5.460663E-04    1.752394E-05  
 -1.199289E+06   -1.199289E+05   -3.959039E+00    4.265191E-04    1.368753E-05  
 -1.199189E+06   -1.199189E+05   -3.958709E+00    6.547195E-04    2.101076E-05  
 -1.199089E+06   -1.199089E+05   -3.958379E+00    1.870175E-03    6.001622E-05  
 -1.198989E+06   -1.198989E+05   -3.958049E+00    2.291080E-03    7.352358E-05  
 -1.198889E+06   -1.198889E+05   -3.957719E+00    5.194252E-04    1.666900E-05  
 -1.198789E+06   -1.198789E+05   -3.957389E+00    5.606850E-04    1.799307E-05  
 -1.198689E+06   -1.198689E+05   -3.957059E+00    1.893101E-04    6.075194E-06  
