
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      58   0.109502E+01   0.298923E+01   0.145410E+00   0.486445E-01   0.854066E-01   0.170256E+01
      59   0.115360E+01   0.316957E+01   0.175439E+00   0.553510E-01   0.905591E-01   0.193728E+01
      60   0.121217E+01   0.336079E+01   0.211009E+00   0.627857E-01   0.960224E-01   0.219750E+01
      61   0.127075E+01   0.356354E+01   0.256196E+00   0.718938E-01   0.101815E+00   0.251628E+01
      62   0.132933E+01   0.377852E+01   0.309376E+00   0.818775E-01   0.107958E+00   0.286571E+01
      63   0.138791E+01   0.400648E+01   0.374227E+00   0.934054E-01   0.114471E+00   0.326919E+01
      64   0.144649E+01   0.424819E+01   0.451545E+00   0.106291E+00   0.121377E+00   0.372019E+01
      65   0.150507E+01   0.450448E+01   0.545979E+00   0.121208E+00   0.128699E+00   0.424228E+01
      66   0.156365E+01   0.477623E+01   0.659714E+00   0.138124E+00   0.136464E+00   0.483436E+01
      67   0.162223E+01   0.506437E+01   0.797738E+00   0.157520E+00   0.144696E+00   0.551318E+01
      68   0.168081E+01   0.536990E+01   0.964952E+00   0.179696E+00   0.153426E+00   0.628938E+01
      69   0.173939E+01   0.569386E+01   0.116204E+01   0.204086E+00   0.162682E+00   0.714300E+01
      70   0.179797E+01   0.603737E+01   0.140061E+01   0.231990E+00   0.172496E+00   0.811965E+01
      71   0.185655E+01   0.640160E+01   0.168062E+01   0.262531E+00   0.182903E+00   0.918857E+01
      72   0.191513E+01   0.678780E+01   0.201386E+01   0.296688E+00   0.193937E+00   0.103841E+02
      73   0.197371E+01   0.719730E+01   0.241379E+01   0.335374E+00   0.205637E+00   0.117381E+02
      74   0.203229E+01   0.763151E+01   0.288038E+01   0.377433E+00   0.218043E+00   0.132101E+02
      75   0.209086E+01   0.809191E+01   0.342450E+01   0.423200E+00   0.231197E+00   0.148120E+02
      76   0.214944E+01   0.858009E+01   0.406129E+01   0.473339E+00   0.245145E+00   0.165669E+02
      77   0.220802E+01   0.909772E+01   0.479464E+01   0.527016E+00   0.259935E+00   0.184456E+02
      78   0.226660E+01   0.964657E+01   0.563523E+01   0.584169E+00   0.275616E+00   0.204459E+02
      79   0.232518E+01   0.102285E+02   0.659501E+01   0.644765E+00   0.292244E+00   0.225668E+02
      80   0.238376E+01   0.108456E+02   0.767002E+01   0.707199E+00   0.309875E+00   0.247520E+02
