 Program bfbm2
 Log. density distribution between NTSTART and NTEND
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.6000000000000001     
 BRANCHPROB=   0.0000000000000000     
 DEATHPROB=   0.0000000000000000     
 MEMORY=NONE
 NT=        16384
 NTSTART=        13107
 NTEND=        16384
 L=   35.000000000000000     
 IRINIT=          43
 NCONF=       99840
 x is measured from the wall
 ==================================
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      56   0.977857E+00   0.265875E+01   0.511074E-02   0.192223E-02   0.759644E-01   0.672781E-01
      57   0.103644E+01   0.281915E+01   0.620517E-02   0.220108E-02   0.805473E-01   0.770377E-01
      58   0.109502E+01   0.298923E+01   0.745703E-02   0.249463E-02   0.854066E-01   0.873121E-01
      59   0.115360E+01   0.316957E+01   0.891789E-02   0.281360E-02   0.905591E-01   0.984759E-01
      60   0.121217E+01   0.336079E+01   0.108104E-01   0.321664E-02   0.960224E-01   0.112582E+00
      61   0.127075E+01   0.356354E+01   0.131109E-01   0.367918E-02   0.101815E+00   0.128771E+00
      62   0.132933E+01   0.377852E+01   0.158498E-01   0.419470E-02   0.107958E+00   0.146814E+00
      63   0.138791E+01   0.400648E+01   0.191675E-01   0.478412E-02   0.114471E+00   0.167444E+00
      64   0.144649E+01   0.424819E+01   0.231893E-01   0.545863E-02   0.121377E+00   0.191052E+00
      65   0.150507E+01   0.450448E+01   0.281836E-01   0.625681E-02   0.128699E+00   0.218988E+00
      66   0.156365E+01   0.477623E+01   0.340748E-01   0.713424E-02   0.136464E+00   0.249698E+00
      67   0.162223E+01   0.506437E+01   0.413855E-01   0.817189E-02   0.144696E+00   0.286016E+00
      68   0.168081E+01   0.536990E+01   0.499919E-01   0.930965E-02   0.153426E+00   0.325838E+00
      69   0.173939E+01   0.569386E+01   0.606172E-01   0.106461E-01   0.162682E+00   0.372612E+00
      70   0.179797E+01   0.603737E+01   0.731884E-01   0.121226E-01   0.172496E+00   0.424290E+00
      71   0.185655E+01   0.640160E+01   0.883286E-01   0.137979E-01   0.182903E+00   0.482926E+00
      72   0.191513E+01   0.678780E+01   0.106402E+00   0.156755E-01   0.193937E+00   0.548643E+00
      73   0.197371E+01   0.719730E+01   0.128055E+00   0.177920E-01   0.205637E+00   0.622721E+00
      74   0.203229E+01   0.763151E+01   0.153481E+00   0.201114E-01   0.218043E+00   0.703900E+00
      75   0.209086E+01   0.809191E+01   0.183597E+00   0.226890E-01   0.231197E+00   0.794115E+00
      76   0.214944E+01   0.858009E+01   0.218878E+00   0.255100E-01   0.245145E+00   0.892851E+00
      77   0.220802E+01   0.909772E+01   0.260230E+00   0.286038E-01   0.259935E+00   0.100113E+01
      78   0.226660E+01   0.964657E+01   0.307985E+00   0.319269E-01   0.275616E+00   0.111744E+01
      79   0.232518E+01   0.102285E+02   0.362181E+00   0.354088E-01   0.292244E+00   0.123931E+01
      80   0.238376E+01   0.108456E+02   0.423645E+00   0.390614E-01   0.309875E+00   0.136715E+01
      81   0.244234E+01   0.114999E+02   0.492845E+00   0.428564E-01   0.328569E+00   0.149997E+01
      82   0.250092E+01   0.121937E+02   0.568603E+00   0.466308E-01   0.348392E+00   0.163208E+01
      83   0.255950E+01   0.129293E+02   0.650847E+00   0.503387E-01   0.369410E+00   0.176186E+01
      84   0.261808E+01   0.137094E+02   0.737716E+00   0.538111E-01   0.391696E+00   0.188339E+01
      85   0.267666E+01   0.145364E+02   0.828557E+00   0.569986E-01   0.415327E+00   0.199495E+01
      86   0.273524E+01   0.154134E+02   0.918749E+00   0.596071E-01   0.440383E+00   0.208625E+01
      87   0.279382E+01   0.163433E+02   0.100382E+01   0.614207E-01   0.466951E+00   0.214972E+01
      88   0.285240E+01   0.173293E+02   0.107865E+01   0.622442E-01   0.495122E+00   0.217855E+01
