	time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
       89    58960  0.188334E+01  0.128608E+01  0.142631E-01  0.271230E+04  0.214482E+00  0.154373E+02
       93    57783  0.192482E+01  0.132972E+01  0.177251E-01  0.291306E+04  0.224530E+00  0.167518E+02
       97    56642  0.196720E+01  0.137474E+01  0.602746E-01  0.312066E+04  0.234722E+00  0.181448E+02
      101    55565  0.200461E+01  0.141517E+01  0.524353E-01  0.333036E+04  0.244819E+00  0.195789E+02
      106    54272  0.205749E+01  0.147482E+01  0.582532E-01  0.359644E+04  0.257424E+00  0.213910E+02
      111    53068  0.210782E+01  0.152936E+01  0.588107E-01  0.387199E+04  0.270116E+00  0.232939E+02
      116    51885  0.215700E+01  0.158100E+01  0.751172E-01  0.414485E+04  0.282640E+00  0.252237E+02
      121    50765  0.220672E+01  0.163389E+01  0.414550E-01  0.442222E+04  0.295147E+00  0.272166E+02
      127    49415  0.226777E+01  0.169444E+01  0.677925E-01  0.476408E+04  0.310499E+00  0.297459E+02
      133    48266  0.232926E+01  0.175622E+01  0.295023E-01  0.511508E+04  0.325541E+00  0.324275E+02
      139    47141  0.238992E+01  0.182404E+01 -0.205504E-01  0.546617E+04  0.340520E+00  0.350114E+02
      145    45997  0.245570E+01  0.188867E+01  0.910451E-01  0.582883E+04  0.355980E+00  0.378983E+02
      152    44832  0.252824E+01  0.196100E+01  0.808770E-01  0.627211E+04  0.374035E+00  0.412586E+02
      159    43685  0.260440E+01  0.203624E+01  0.144251E+00  0.670070E+04  0.391646E+00  0.444953E+02
      166    42563  0.267895E+01  0.211578E+01 -0.193614E-01  0.715192E+04  0.409916E+00  0.480971E+02
      174    41339  0.276003E+01  0.219789E+01 -0.119060E+00  0.766593E+04  0.430628E+00  0.522863E+02
      182    40215  0.283630E+01  0.227612E+01 -0.252040E+00  0.817748E+04  0.450935E+00  0.569171E+02
      191    39031  0.293380E+01  0.238060E+01 -0.300769E+00  0.877391E+04  0.474121E+00  0.618759E+02
      200    37855  0.303733E+01  0.248700E+01 -0.377061E+00  0.937478E+04  0.497640E+00  0.673489E+02
      210    36664  0.314199E+01  0.259437E+01 -0.415348E+00  0.100285E+05  0.522992E+00  0.733037E+02
      220    35556  0.324916E+01  0.271070E+01 -0.455762E+00  0.106878E+05  0.548255E+00  0.792282E+02
      231    34394  0.336887E+01  0.283282E+01 -0.487396E+00  0.114744E+05  0.577588E+00  0.862265E+02
