Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 262144
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 1080
IRINIT= 1
NCONF= 69120
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 262144
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 262134
NTEND= 262144
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=235987)= 973.749454428602
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -2.469300E+04   -2.469300E+03   -2.535868E+00    0.000000E+00    0.000000E+00  
 -2.468300E+04   -2.468300E+03   -2.534841E+00    0.000000E+00    0.000000E+00  
 -2.467300E+04   -2.467300E+03   -2.533814E+00    0.000000E+00    0.000000E+00  
 -2.466300E+04   -2.466300E+03   -2.532787E+00    0.000000E+00    0.000000E+00  
 -2.465300E+04   -2.465300E+03   -2.531760E+00    0.000000E+00    0.000000E+00  
 -2.464300E+04   -2.464300E+03   -2.530733E+00    0.000000E+00    0.000000E+00  
 -2.463300E+04   -2.463300E+03   -2.529706E+00    0.000000E+00    0.000000E+00  
 -2.462300E+04   -2.462300E+03   -2.528679E+00    0.000000E+00    0.000000E+00  
 -2.461300E+04   -2.461300E+03   -2.527652E+00    0.000000E+00    0.000000E+00  
 -2.460300E+04   -2.460300E+03   -2.526625E+00    0.000000E+00    0.000000E+00  
 -2.459300E+04   -2.459300E+03   -2.525598E+00    0.000000E+00    0.000000E+00  
 -2.458300E+04   -2.458300E+03   -2.524571E+00    0.000000E+00    0.000000E+00  
 -2.457300E+04   -2.457300E+03   -2.523544E+00    0.000000E+00    0.000000E+00  
 -2.456300E+04   -2.456300E+03   -2.522517E+00    0.000000E+00    0.000000E+00  
 -2.455300E+04   -2.455300E+03   -2.521491E+00    0.000000E+00    0.000000E+00  
 -2.454300E+04   -2.454300E+03   -2.520464E+00    0.000000E+00    0.000000E+00  
 -2.453300E+04   -2.453300E+03   -2.519437E+00    0.000000E+00    0.000000E+00  
 -2.452300E+04   -2.452300E+03   -2.518410E+00    0.000000E+00    0.000000E+00  
 -2.451300E+04   -2.451300E+03   -2.517383E+00    0.000000E+00    0.000000E+00  
 -2.450300E+04   -2.450300E+03   -2.516356E+00    0.000000E+00    0.000000E+00  
 -2.449300E+04   -2.449300E+03   -2.515329E+00    0.000000E+00    0.000000E+00  
 -2.448300E+04   -2.448300E+03   -2.514302E+00    0.000000E+00    0.000000E+00  
 -2.447300E+04   -2.447300E+03   -2.513275E+00    0.000000E+00    0.000000E+00  
 -2.446300E+04   -2.446300E+03   -2.512248E+00    0.000000E+00    0.000000E+00  
 -2.445300E+04   -2.445300E+03   -2.511221E+00    0.000000E+00    0.000000E+00  
 -2.444300E+04   -2.444300E+03   -2.510194E+00    0.000000E+00    0.000000E+00  
 -2.443300E+04   -2.443300E+03   -2.509167E+00    0.000000E+00    0.000000E+00  
 -2.442300E+04   -2.442300E+03   -2.508140E+00    0.000000E+00    0.000000E+00  
 -2.441300E+04   -2.441300E+03   -2.507113E+00    0.000000E+00    0.000000E+00  
 -2.440300E+04   -2.440300E+03   -2.506086E+00    0.000000E+00    0.000000E+00  
 -2.439300E+04   -2.439300E+03   -2.505059E+00    0.000000E+00    0.000000E+00  
 -2.438300E+04   -2.438300E+03   -2.504032E+00    0.000000E+00    0.000000E+00  
 -2.437300E+04   -2.437300E+03   -2.503005E+00    0.000000E+00    0.000000E+00  
 -2.436300E+04   -2.436300E+03   -2.501978E+00    0.000000E+00    0.000000E+00  
 -2.435300E+04   -2.435300E+03   -2.500951E+00    0.000000E+00    0.000000E+00  
 -2.434300E+04   -2.434300E+03   -2.499924E+00    0.000000E+00    0.000000E+00  
 -2.433300E+04   -2.433300E+03   -2.498897E+00    0.000000E+00    0.000000E+00  
 -2.432300E+04   -2.432300E+03   -2.497870E+00    0.000000E+00    0.000000E+00  
 -2.431300E+04   -2.431300E+03   -2.496844E+00    0.000000E+00    0.000000E+00  
 -2.430300E+04   -2.430300E+03   -2.495817E+00    0.000000E+00    0.000000E+00  
 -2.429300E+04   -2.429300E+03   -2.494790E+00    0.000000E+00    0.000000E+00  
 -2.428300E+04   -2.428300E+03   -2.493763E+00    0.000000E+00    0.000000E+00  
 -2.427300E+04   -2.427300E+03   -2.492736E+00    0.000000E+00    0.000000E+00  
 -2.426300E+04   -2.426300E+03   -2.491709E+00    0.000000E+00    0.000000E+00  
 -2.425300E+04   -2.425300E+03   -2.490682E+00    0.000000E+00    0.000000E+00  
 -2.424300E+04   -2.424300E+03   -2.489655E+00    0.000000E+00    0.000000E+00  
 -2.423300E+04   -2.423300E+03   -2.488628E+00    7.560902E-07    7.362425E-04  
 -2.422300E+04   -2.422300E+03   -2.487601E+00    5.956829E-06    5.800459E-03  
 -2.421300E+04   -2.421300E+03   -2.486574E+00    1.067407E-05    1.039387E-02  
 -2.420300E+04   -2.420300E+03   -2.485547E+00    1.269109E-05    1.235794E-02  
 -2.419300E+04   -2.419300E+03   -2.484520E+00    1.172269E-05    1.141496E-02  
 -2.418300E+04   -2.418300E+03   -2.483493E+00    4.099034E-06    3.991432E-03  
 -2.417300E+04   -2.417300E+03   -2.482466E+00    9.503781E-06    9.254302E-03  
 -2.416300E+04   -2.416300E+03   -2.481439E+00    1.569900E-05    1.528689E-02  
 -2.415300E+04   -2.415300E+03   -2.480412E+00    7.152100E-06    6.964353E-03  
 -2.414300E+04   -2.414300E+03   -2.479385E+00    1.155245E-06    1.124919E-03  
 -2.413300E+04   -2.413300E+03   -2.478358E+00    4.945032E-09    4.815222E-06  
 -2.412300E+04   -2.412300E+03   -2.477331E+00    0.000000E+00    0.000000E+00  
 -2.411300E+04   -2.411300E+03   -2.476304E+00    0.000000E+00    0.000000E+00  
 -2.410300E+04   -2.410300E+03   -2.475277E+00    0.000000E+00    0.000000E+00  
 -2.409300E+04   -2.409300E+03   -2.474250E+00    0.000000E+00    0.000000E+00  
 -2.408300E+04   -2.408300E+03   -2.473223E+00    0.000000E+00    0.000000E+00  
 -2.407300E+04   -2.407300E+03   -2.472197E+00    0.000000E+00    0.000000E+00  
 -2.406300E+04   -2.406300E+03   -2.471170E+00    0.000000E+00    0.000000E+00  
 -2.405300E+04   -2.405300E+03   -2.470143E+00    0.000000E+00    0.000000E+00  
 -2.404300E+04   -2.404300E+03   -2.469116E+00    0.000000E+00    0.000000E+00  
 -2.403300E+04   -2.403300E+03   -2.468089E+00    0.000000E+00    0.000000E+00  
 -2.402300E+04   -2.402300E+03   -2.467062E+00    6.113447E-08    5.952966E-05  
 -2.401300E+04   -2.401300E+03   -2.466035E+00    3.687538E-06    3.590738E-03  
 -2.400300E+04   -2.400300E+03   -2.465008E+00    1.734929E-05    1.689386E-02  
 -2.399300E+04   -2.399300E+03   -2.463981E+00    3.715466E-05    3.617933E-02  
 -2.398300E+04   -2.398300E+03   -2.462954E+00    3.868476E-05    3.766927E-02  
 -2.397300E+04   -2.397300E+03   -2.461927E+00    4.244702E-05    4.133276E-02  
 -2.396300E+04   -2.396300E+03   -2.460900E+00    1.411135E-05    1.374092E-02  
 -2.395300E+04   -2.395300E+03   -2.459873E+00    5.014402E-06    4.882771E-03  
 -2.394300E+04   -2.394300E+03   -2.458846E+00    3.188203E-07    3.104511E-04  
 -2.393300E+04   -2.393300E+03   -2.457819E+00    0.000000E+00    0.000000E+00  
 -2.392300E+04   -2.392300E+03   -2.456792E+00    0.000000E+00    0.000000E+00  
 -2.391300E+04   -2.391300E+03   -2.455765E+00    0.000000E+00    0.000000E+00  
 -2.390300E+04   -2.390300E+03   -2.454738E+00    0.000000E+00    0.000000E+00  
 -2.389300E+04   -2.389300E+03   -2.453711E+00    0.000000E+00    0.000000E+00  
 -2.388300E+04   -2.388300E+03   -2.452684E+00    0.000000E+00    0.000000E+00  
 -2.387300E+04   -2.387300E+03   -2.451657E+00    0.000000E+00    0.000000E+00  
 -2.386300E+04   -2.386300E+03   -2.450630E+00    0.000000E+00    0.000000E+00  
 -2.385300E+04   -2.385300E+03   -2.449603E+00    0.000000E+00    0.000000E+00  
 -2.384300E+04   -2.384300E+03   -2.448576E+00    0.000000E+00    0.000000E+00  
 -2.383300E+04   -2.383300E+03   -2.447550E+00    0.000000E+00    0.000000E+00  
 -2.382300E+04   -2.382300E+03   -2.446523E+00    0.000000E+00    0.000000E+00  
 -2.381300E+04   -2.381300E+03   -2.445496E+00    0.000000E+00    0.000000E+00  
 -2.380300E+04   -2.380300E+03   -2.444469E+00    0.000000E+00    0.000000E+00  
 -2.379300E+04   -2.379300E+03   -2.443442E+00    0.000000E+00    0.000000E+00  
 -2.378300E+04   -2.378300E+03   -2.442415E+00    0.000000E+00    0.000000E+00  
 -2.377300E+04   -2.377300E+03   -2.441388E+00    0.000000E+00    0.000000E+00  
 -2.376300E+04   -2.376300E+03   -2.440361E+00    0.000000E+00    0.000000E+00  
 -2.375300E+04   -2.375300E+03   -2.439334E+00    0.000000E+00    0.000000E+00  
 -2.374300E+04   -2.374300E+03   -2.438307E+00    0.000000E+00    0.000000E+00  
 -2.373300E+04   -2.373300E+03   -2.437280E+00    0.000000E+00    0.000000E+00  
 -2.372300E+04   -2.372300E+03   -2.436253E+00    4.535303E-08    4.416248E-05  
 -2.371300E+04   -2.371300E+03   -2.435226E+00    2.358714E-06    2.296796E-03  
 -2.370300E+04   -2.370300E+03   -2.434199E+00    6.912579E-06    6.731121E-03  
 -2.369300E+04   -2.369300E+03   -2.433172E+00    1.728992E-05    1.683605E-02  
 -2.368300E+04   -2.368300E+03   -2.432145E+00    2.315204E-05    2.254429E-02  
 -2.367300E+04   -2.367300E+03   -2.431118E+00    2.235403E-05    2.176723E-02  
 -2.366300E+04   -2.366300E+03   -2.430091E+00    6.819379E-06    6.640366E-03  
 -2.365300E+04   -2.365300E+03   -2.429064E+00    4.832151E-07    4.705304E-04  
 -2.364300E+04   -2.364300E+03   -2.428037E+00    0.000000E+00    0.000000E+00  
 -2.363300E+04   -2.363300E+03   -2.427010E+00    0.000000E+00    0.000000E+00  
 -2.362300E+04   -2.362300E+03   -2.425983E+00    6.948260E-08    6.765864E-05  
 -2.361300E+04   -2.361300E+03   -2.424956E+00    4.750431E-06    4.625729E-03  
 -2.360300E+04   -2.360300E+03   -2.423929E+00    3.244181E-05    3.159019E-02  
 -2.359300E+04   -2.359300E+03   -2.422903E+00    5.291738E-05    5.152827E-02  
 -2.358300E+04   -2.358300E+03   -2.421876E+00    4.577826E-05    4.457656E-02  
 -2.357300E+04   -2.357300E+03   -2.420849E+00    2.159977E-05    2.103276E-02  
 -2.356300E+04   -2.356300E+03   -2.419822E+00    1.272446E-06    1.239043E-03  
 -2.355300E+04   -2.355300E+03   -2.418795E+00    0.000000E+00    0.000000E+00  
 -2.354300E+04   -2.354300E+03   -2.417768E+00    0.000000E+00    0.000000E+00  
 -2.353300E+04   -2.353300E+03   -2.416741E+00    0.000000E+00    0.000000E+00  
 -2.352300E+04   -2.352300E+03   -2.415714E+00    0.000000E+00    0.000000E+00  
 -2.351300E+04   -2.351300E+03   -2.414687E+00    0.000000E+00    0.000000E+00  
 -2.350300E+04   -2.350300E+03   -2.413660E+00    0.000000E+00    0.000000E+00  
 -2.349300E+04   -2.349300E+03   -2.412633E+00    0.000000E+00    0.000000E+00  
 -2.348300E+04   -2.348300E+03   -2.411606E+00    0.000000E+00    0.000000E+00  
 -2.347300E+04   -2.347300E+03   -2.410579E+00    0.000000E+00    0.000000E+00  
 -2.346300E+04   -2.346300E+03   -2.409552E+00    0.000000E+00    0.000000E+00  
 -2.345300E+04   -2.345300E+03   -2.408525E+00    0.000000E+00    0.000000E+00  
 -2.344300E+04   -2.344300E+03   -2.407498E+00    0.000000E+00    0.000000E+00  
 -2.343300E+04   -2.343300E+03   -2.406471E+00    0.000000E+00    0.000000E+00  
 -2.342300E+04   -2.342300E+03   -2.405444E+00    0.000000E+00    0.000000E+00  
 -2.341300E+04   -2.341300E+03   -2.404417E+00    0.000000E+00    0.000000E+00  
 -2.340300E+04   -2.340300E+03   -2.403390E+00    0.000000E+00    0.000000E+00  
 -2.339300E+04   -2.339300E+03   -2.402363E+00    0.000000E+00    0.000000E+00  
 -2.338300E+04   -2.338300E+03   -2.401336E+00    0.000000E+00    0.000000E+00  
 -2.337300E+04   -2.337300E+03   -2.400309E+00    0.000000E+00    0.000000E+00  
 -2.336300E+04   -2.336300E+03   -2.399282E+00    0.000000E+00    0.000000E+00  
 -2.335300E+04   -2.335300E+03   -2.398256E+00    0.000000E+00    0.000000E+00  
 -2.334300E+04   -2.334300E+03   -2.397229E+00    0.000000E+00    0.000000E+00  
 -2.333300E+04   -2.333300E+03   -2.396202E+00    0.000000E+00    0.000000E+00  
 -2.332300E+04   -2.332300E+03   -2.395175E+00    0.000000E+00    0.000000E+00  
 -2.331300E+04   -2.331300E+03   -2.394148E+00    0.000000E+00    0.000000E+00  
 -2.330300E+04   -2.330300E+03   -2.393121E+00    0.000000E+00    0.000000E+00  
 -2.329300E+04   -2.329300E+03   -2.392094E+00    0.000000E+00    0.000000E+00  
 -2.328300E+04   -2.328300E+03   -2.391067E+00    0.000000E+00    0.000000E+00  
 -2.327300E+04   -2.327300E+03   -2.390040E+00    0.000000E+00    0.000000E+00  
 -2.326300E+04   -2.326300E+03   -2.389013E+00    0.000000E+00    0.000000E+00  
 -2.325300E+04   -2.325300E+03   -2.387986E+00    0.000000E+00    0.000000E+00  
 -2.324300E+04   -2.324300E+03   -2.386959E+00    0.000000E+00    0.000000E+00  
 -2.323300E+04   -2.323300E+03   -2.385932E+00    0.000000E+00    0.000000E+00  
 -2.322300E+04   -2.322300E+03   -2.384905E+00    0.000000E+00    0.000000E+00  
 -2.321300E+04   -2.321300E+03   -2.383878E+00    0.000000E+00    0.000000E+00  
 -2.320300E+04   -2.320300E+03   -2.382851E+00    0.000000E+00    0.000000E+00  
 -2.319300E+04   -2.319300E+03   -2.381824E+00    0.000000E+00    0.000000E+00  
 -2.318300E+04   -2.318300E+03   -2.380797E+00    0.000000E+00    0.000000E+00  
 -2.317300E+04   -2.317300E+03   -2.379770E+00    0.000000E+00    0.000000E+00  
 -2.316300E+04   -2.316300E+03   -2.378743E+00    0.000000E+00    0.000000E+00  
 -2.315300E+04   -2.315300E+03   -2.377716E+00    0.000000E+00    0.000000E+00  
 -2.314300E+04   -2.314300E+03   -2.376689E+00    0.000000E+00    0.000000E+00  
 -2.313300E+04   -2.313300E+03   -2.375662E+00    1.901292E-08    1.851383E-05  
 -2.312300E+04   -2.312300E+03   -2.374635E+00    2.122130E-06    2.066423E-03  
 -2.311300E+04   -2.311300E+03   -2.373609E+00    1.236648E-05    1.204185E-02  
 -2.310300E+04   -2.310300E+03   -2.372582E+00    3.047933E-05    2.967923E-02  
 -2.309300E+04   -2.309300E+03   -2.371555E+00    2.146454E-05    2.090108E-02  
 -2.308300E+04   -2.308300E+03   -2.370528E+00    9.599263E-06    9.347277E-03  
 -2.307300E+04   -2.307300E+03   -2.369501E+00    3.276936E-06    3.190914E-03  
 -2.306300E+04   -2.306300E+03   -2.368474E+00    8.646858E-08    8.419873E-05  
 -2.305300E+04   -2.305300E+03   -2.367447E+00    0.000000E+00    0.000000E+00  
 -2.304300E+04   -2.304300E+03   -2.366420E+00    0.000000E+00    0.000000E+00  
 -2.303300E+04   -2.303300E+03   -2.365393E+00    0.000000E+00    0.000000E+00  
 -2.302300E+04   -2.302300E+03   -2.364366E+00    0.000000E+00    0.000000E+00  
 -2.301300E+04   -2.301300E+03   -2.363339E+00    0.000000E+00    0.000000E+00  
 -2.300300E+04   -2.300300E+03   -2.362312E+00    0.000000E+00    0.000000E+00  
 -2.299300E+04   -2.299300E+03   -2.361285E+00    2.219479E-07    2.161216E-04  
 -2.298300E+04   -2.298300E+03   -2.360258E+00    6.874076E-06    6.693628E-03  
 -2.297300E+04   -2.297300E+03   -2.359231E+00    1.288234E-05    1.254417E-02  
 -2.296300E+04   -2.296300E+03   -2.358204E+00    3.511683E-06    3.419499E-03  
 -2.295300E+04   -2.295300E+03   -2.357177E+00    1.833247E-05    1.785124E-02  
 -2.294300E+04   -2.294300E+03   -2.356150E+00    2.290150E-05    2.230032E-02  
 -2.293300E+04   -2.293300E+03   -2.355123E+00    1.165977E-05    1.135370E-02  
 -2.292300E+04   -2.292300E+03   -2.354096E+00    3.001750E-06    2.922952E-03  
 -2.291300E+04   -2.291300E+03   -2.353069E+00    2.978688E-08    2.900496E-05  
 -2.290300E+04   -2.290300E+03   -2.352042E+00    0.000000E+00    0.000000E+00  
 -2.289300E+04   -2.289300E+03   -2.351015E+00    0.000000E+00    0.000000E+00  
 -2.288300E+04   -2.288300E+03   -2.349988E+00    8.381589E-07    8.161567E-04  
 -2.287300E+04   -2.287300E+03   -2.348962E+00    6.384449E-06    6.216853E-03  
