
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1   108672  0.100000E+01  0.000000E+00  0.317583E-02  0.996868E+00  0.302871E-02  0.428914E-02
        2   107577  0.100954E+01  0.971926E-01  0.153185E-02  0.131825E+01  0.350057E-02  0.569039E-02
        3   106598  0.101963E+01  0.140154E+00  0.124367E-02  0.155574E+01  0.382027E-02  0.670730E-02
        4   105609  0.102928E+01  0.171701E+00  0.145265E-02  0.175475E+01  0.407621E-02  0.761339E-02
        5   104619  0.103966E+01  0.201089E+00 -0.243203E-02  0.193006E+01  0.429516E-02  0.836648E-02
        6   103621  0.104955E+01  0.225510E+00 -0.133824E-02  0.207572E+01  0.447570E-02  0.905106E-02
        7   102669  0.105964E+01  0.248535E+00 -0.503699E-02  0.221835E+01  0.464828E-02  0.968981E-02
        8   101732  0.106886E+01  0.268547E+00 -0.490902E-02  0.234287E+01  0.479892E-02  0.102449E-01
        9   100843  0.107883E+01  0.288792E+00  0.235752E-02  0.248499E+01  0.496408E-02  0.109612E-01
       10    99898  0.108918E+01  0.307996E+00  0.285289E-02  0.260439E+01  0.510592E-02  0.114537E-01
       11    99022  0.109951E+01  0.326924E+00  0.983971E-02  0.271547E+01  0.523659E-02  0.120176E-01
       12    98138  0.110877E+01  0.343522E+00  0.534733E-02  0.281524E+01  0.535595E-02  0.124250E-01
       13    97309  0.111905E+01  0.361034E+00  0.229106E-02  0.292366E+01  0.548134E-02  0.129655E-01
       14    96482  0.112896E+01  0.377256E+00  0.211050E-02  0.302743E+01  0.560162E-02  0.134272E-01
       15    95624  0.113963E+01  0.393965E+00  0.699705E-02  0.313010E+01  0.572126E-02  0.139204E-01
       16    94808  0.114929E+01  0.409224E+00  0.103992E-01  0.322753E+01  0.583453E-02  0.143914E-01
       17    94010  0.115911E+01  0.424593E+00  0.113829E-01  0.331740E+01  0.594023E-02  0.148049E-01
       18    93211  0.116933E+01  0.439328E+00  0.972294E-02  0.341437E+01  0.605223E-02  0.153366E-01
       19    92536  0.117877E+01  0.453767E+00  0.744295E-02  0.349893E+01  0.614906E-02  0.156788E-01
       20    91793  0.118859E+01  0.467785E+00  0.291153E-02  0.360844E+01  0.626981E-02  0.162667E-01
       21    91056  0.119821E+01  0.481935E+00  0.462738E-02  0.368284E+01  0.635969E-02  0.167206E-01
       22    90368  0.120851E+01  0.496156E+00  0.448898E-02  0.377832E+01  0.646608E-02  0.171820E-01
       23    89644  0.121856E+01  0.510702E+00  0.631453E-02  0.384302E+01  0.654747E-02  0.176401E-01
       24    88907  0.122856E+01  0.525014E+00  0.103106E-02  0.394106E+01  0.665792E-02  0.179473E-01
       25    88190  0.123824E+01  0.538154E+00 -0.233067E-02  0.403670E+01  0.676556E-02  0.185154E-01
       26    87519  0.124793E+01  0.551230E+00  0.763587E-02  0.412934E+01  0.686888E-02  0.189235E-01
       27    86824  0.125776E+01  0.564132E+00  0.782255E-02  0.418582E+01  0.694332E-02  0.192295E-01
       28    86161  0.126822E+01  0.578326E+00  0.611369E-02  0.428787E+01  0.705446E-02  0.197089E-01
       29    85485  0.127841E+01  0.591134E+00 -0.336770E-03  0.436652E+01  0.714698E-02  0.201731E-01
       30    84837  0.128901E+01  0.603988E+00  0.197467E-02  0.445327E+01  0.724514E-02  0.206341E-01
       31    84239  0.129960E+01  0.617883E+00 -0.196854E-02  0.452325E+01  0.732772E-02  0.210558E-01
       32    83576  0.131003E+01  0.630992E+00 -0.433596E-02  0.460211E+01  0.742056E-02  0.215866E-01
       33    82959  0.132027E+01  0.643904E+00 -0.364738E-02  0.467154E+01  0.750408E-02  0.219093E-01
       34    82354  0.133034E+01  0.657554E+00 -0.374132E-02  0.475439E+01  0.759809E-02  0.223395E-01
       35    81748  0.134040E+01  0.670292E+00 -0.304208E-03  0.482103E+01  0.767947E-02  0.226856E-01
       36    81159  0.134986E+01  0.682643E+00  0.172834E-02  0.491890E+01  0.778513E-02  0.232563E-01
       37    80578  0.135888E+01  0.693594E+00  0.694447E-03  0.500760E+01  0.788328E-02  0.237150E-01
       38    80002  0.136893E+01  0.705984E+00  0.158157E-02  0.507450E+01  0.796427E-02  0.239621E-01
       39    79405  0.137985E+01  0.718875E+00 -0.370052E-03  0.515683E+01  0.805875E-02  0.244368E-01
       40    78860  0.139017E+01  0.729768E+00 -0.270494E-02  0.522036E+01  0.813620E-02  0.247890E-01
       42    77786  0.141022E+01  0.752574E+00 -0.603447E-02  0.537846E+01  0.831528E-02  0.256916E-01
       44    76663  0.143158E+01  0.777798E+00 -0.334369E-02  0.552175E+01  0.848682E-02  0.264737E-01
       46    75666  0.145151E+01  0.800696E+00 -0.356298E-02  0.565899E+01  0.864805E-02  0.273081E-01
       48    74652  0.147303E+01  0.827033E+00 -0.104090E-02  0.583261E+01  0.883915E-02  0.281497E-01
       50    73772  0.149269E+01  0.851568E+00  0.258682E-02  0.599059E+01  0.901133E-02  0.289264E-01
       52    72841  0.151212E+01  0.874393E+00  0.505117E-02  0.610764E+01  0.915689E-02  0.297660E-01
       54    71913  0.153139E+01  0.896438E+00  0.182095E-02  0.623352E+01  0.931028E-02  0.306827E-01
       56    71057  0.155150E+01  0.918677E+00  0.202085E-02  0.635937E+01  0.946027E-02  0.313625E-01
       58    70184  0.157143E+01  0.941056E+00  0.883137E-02  0.649960E+01  0.962324E-02  0.324677E-01
       60    69284  0.159093E+01  0.962208E+00  0.104407E-01  0.663269E+01  0.978419E-02  0.331022E-01
       63    68036  0.162058E+01  0.995594E+00  0.637546E-02  0.686479E+01  0.100448E-01  0.344177E-01
       66    66808  0.165152E+01  0.103174E+01  0.619113E-02  0.707667E+01  0.102920E-01  0.356747E-01
       69    65655  0.168249E+01  0.106530E+01  0.725175E-02  0.730181E+01  0.105458E-01  0.368526E-01
       72    64603  0.171186E+01  0.109914E+01 -0.330162E-02  0.752480E+01  0.107925E-01  0.382922E-01
       75    63540  0.174410E+01  0.113608E+01  0.526140E-02  0.776643E+01  0.110557E-01  0.397181E-01
       78    62468  0.177438E+01  0.116757E+01  0.592979E-02  0.799785E+01  0.113151E-01  0.411548E-01
       81    61459  0.180452E+01  0.119971E+01 -0.408664E-02  0.821686E+01  0.115627E-01  0.426714E-01
       85    60226  0.184533E+01  0.124133E+01  0.615205E-03  0.853011E+01  0.119011E-01  0.446246E-01
       89    58960  0.188334E+01  0.128608E+01 -0.170291E-02  0.883924E+01  0.122441E-01  0.466767E-01
       93    57783  0.192482E+01  0.132972E+01  0.493053E-02  0.910180E+01  0.125506E-01  0.489047E-01
       97    56642  0.196720E+01  0.137474E+01  0.101953E-01  0.938773E+01  0.128739E-01  0.506044E-01
      101    55565  0.200461E+01  0.141517E+01  0.633324E-02  0.968314E+01  0.132010E-01  0.526223E-01
      106    54272  0.205749E+01  0.147482E+01 -0.601635E-03  0.100211E+02  0.135884E-01  0.544174E-01
      111    53068  0.210782E+01  0.152936E+01  0.967357E-03  0.103800E+02  0.139857E-01  0.570095E-01
      116    51885  0.215700E+01  0.158100E+01  0.111701E-02  0.107419E+02  0.143886E-01  0.593191E-01
      121    50765  0.220672E+01  0.163389E+01  0.207340E-02  0.111094E+02  0.147932E-01  0.620109E-01
      127    49415  0.226777E+01  0.169444E+01  0.398594E-02  0.115231E+02  0.152705E-01  0.647809E-01
      133    48266  0.232926E+01  0.175622E+01 -0.566429E-02  0.119255E+02  0.157187E-01  0.675488E-01
      139    47141  0.238992E+01  0.182404E+01  0.273509E-02  0.124204E+02  0.162319E-01  0.709055E-01
      145    45997  0.245570E+01  0.188867E+01  0.295580E-02  0.128659E+02  0.167246E-01  0.747068E-01
      152    44832  0.252824E+01  0.196100E+01  0.244731E-06  0.134226E+02  0.173031E-01  0.782630E-01
      159    43685  0.260440E+01  0.203624E+01  0.571179E-02  0.139777E+02  0.178876E-01  0.825775E-01
      166    42563  0.267895E+01  0.211578E+01 -0.254909E-02  0.145081E+02  0.184624E-01  0.860507E-01
      174    41339  0.276003E+01  0.219789E+01 -0.152058E-01  0.151717E+02  0.191573E-01  0.903995E-01
      182    40215  0.283630E+01  0.227612E+01 -0.151664E-01  0.158394E+02  0.198460E-01  0.949244E-01
      191    39031  0.293380E+01  0.238060E+01 -0.252630E-01  0.165193E+02  0.205723E-01  0.100277E+00
      200    37855  0.303733E+01  0.248700E+01 -0.195185E-01  0.173113E+02  0.213845E-01  0.106117E+00
      210    36664  0.314199E+01  0.259437E+01 -0.395255E-02  0.180193E+02  0.221691E-01  0.111751E+00
      220    35556  0.324916E+01  0.271070E+01 -0.639468E-02  0.188514E+02  0.230258E-01  0.119134E+00
      231    34394  0.336887E+01  0.283282E+01 -0.188213E-01  0.196291E+02  0.238894E-01  0.124396E+00
      242    33369  0.348129E+01  0.295576E+01 -0.244461E-01  0.204898E+02  0.247794E-01  0.131218E+00
      254    32286  0.360131E+01  0.307871E+01 -0.210041E-01  0.213817E+02  0.257341E-01  0.139517E+00
      266    31204  0.373760E+01  0.320189E+01 -0.152084E-01  0.224042E+02  0.267952E-01  0.147214E+00
      279    30194  0.387786E+01  0.335023E+01 -0.271221E-01  0.233715E+02  0.278212E-01  0.154799E+00
      292    29287  0.400819E+01  0.347146E+01 -0.299975E-01  0.243569E+02  0.288380E-01  0.162142E+00
      306    28320  0.416066E+01  0.362578E+01 -0.372562E-01  0.254361E+02  0.299686E-01  0.170463E+00
      321    27350  0.432995E+01  0.378790E+01 -0.271797E-01  0.265773E+02  0.311724E-01  0.179384E+00
      337    26402  0.449992E+01  0.395246E+01 -0.193226E-01  0.279045E+02  0.325099E-01  0.189928E+00
      353    25521  0.467928E+01  0.411644E+01 -0.142681E-01  0.289164E+02  0.336606E-01  0.200034E+00
      370    24646  0.487832E+01  0.431776E+01 -0.670380E-02  0.301922E+02  0.350005E-01  0.209805E+00
      388    23776  0.508626E+01  0.450179E+01 -0.176187E-01  0.315505E+02  0.364277E-01  0.218772E+00
      407    22974  0.529607E+01  0.472850E+01 -0.279492E-01  0.329372E+02  0.378634E-01  0.230284E+00
      427    22161  0.554591E+01  0.498697E+01 -0.272366E-01  0.343063E+02  0.393448E-01  0.241125E+00
      448    21386  0.580277E+01  0.525110E+01 -0.350193E-01  0.357734E+02  0.408985E-01  0.252784E+00
      470    20666  0.606455E+01  0.554470E+01 -0.182881E-01  0.373416E+02  0.425076E-01  0.265686E+00
      493    19940  0.634614E+01  0.583203E+01 -0.290525E-01  0.390310E+02  0.442423E-01  0.278295E+00
      517    19213  0.662177E+01  0.608165E+01 -0.414770E-01  0.405997E+02  0.459679E-01  0.291428E+00
      542    18556  0.692299E+01  0.635462E+01 -0.266603E-01  0.422748E+02  0.477304E-01  0.305274E+00
      569    17887  0.723900E+01  0.665091E+01 -0.365286E-01  0.438352E+02  0.495035E-01  0.314298E+00
      597    17235  0.757134E+01  0.696255E+01 -0.453957E-01  0.452735E+02  0.512515E-01  0.323207E+00
      626    16629  0.789861E+01  0.726441E+01 -0.497459E-01  0.469887E+02  0.531560E-01  0.336376E+00
      657    16049  0.830114E+01  0.768659E+01 -0.349189E-01  0.485934E+02  0.550249E-01  0.345957E+00
      689    15463  0.868370E+01  0.808968E+01  0.240079E-01  0.503024E+02  0.570354E-01  0.359224E+00
      723    14924  0.909702E+01  0.852119E+01 -0.172802E-02  0.520618E+02  0.590632E-01  0.371543E+00
      759    14364  0.950738E+01  0.893118E+01  0.293650E-01  0.537855E+02  0.611915E-01  0.381529E+00
      796    13832  0.997759E+01  0.929819E+01  0.484778E-02  0.558323E+02  0.635331E-01  0.395858E+00
      835    13360  0.104287E+02  0.969303E+01 -0.222215E-02  0.572423E+02  0.654569E-01  0.404667E+00
      876    12870  0.109545E+02  0.102265E+02 -0.684425E-02  0.590107E+02  0.677136E-01  0.415378E+00
      919    12405  0.114918E+02  0.108322E+02 -0.171671E-01  0.605568E+02  0.698686E-01  0.426152E+00
      964    11984  0.120762E+02  0.114635E+02 -0.157961E-01  0.618436E+02  0.718366E-01  0.433046E+00
     1012    11540  0.127267E+02  0.120837E+02 -0.137301E-01  0.634644E+02  0.741586E-01  0.438771E+00
     1062    11117  0.134346E+02  0.128031E+02  0.188136E-01  0.645878E+02  0.762220E-01  0.443097E+00
     1115    10735  0.141453E+02  0.133809E+02  0.998647E-02  0.661218E+02  0.784822E-01  0.450914E+00
     1170    10352  0.148654E+02  0.141651E+02  0.467379E-01  0.675229E+02  0.807619E-01  0.462466E+00
     1228     9970  0.156534E+02  0.149403E+02  0.631012E-01  0.685956E+02  0.829446E-01  0.464399E+00
     1289     9641  0.164950E+02  0.157663E+02  0.995619E-01  0.697777E+02  0.850680E-01  0.472434E+00
     1353     9270  0.175708E+02  0.167350E+02  0.988065E-01  0.708235E+02  0.874015E-01  0.476218E+00
     1420     8957  0.185962E+02  0.177406E+02  0.805447E-01  0.713250E+02  0.892318E-01  0.477858E+00
     1491     8670  0.196311E+02  0.189496E+02  0.905754E-01  0.719688E+02  0.911041E-01  0.481390E+00
     1565     8368  0.208164E+02  0.201797E+02  0.890049E-01  0.732788E+02  0.935740E-01  0.490347E+00
     1643     8102  0.219821E+02  0.215626E+02  0.851312E-01  0.739347E+02  0.955228E-01  0.490194E+00
     1725     7825  0.234528E+02  0.230536E+02  0.928468E-01  0.752487E+02  0.980579E-01  0.498969E+00
     1811     7577  0.249363E+02  0.246325E+02  0.499435E-01  0.763131E+02  0.100356E+00  0.500779E+00
     1901     7337  0.264515E+02  0.263893E+02  0.740531E-01  0.766259E+02  0.102191E+00  0.502820E+00
     1996     7084  0.281707E+02  0.281421E+02  0.902801E-01  0.771007E+02  0.104320E+00  0.507238E+00
     2095     6869  0.300128E+02  0.302509E+02  0.108134E+00  0.775706E+02  0.106260E+00  0.499335E+00
     2199     6656  0.319507E+02  0.322137E+02  0.106289E+00  0.778048E+02  0.108110E+00  0.500194E+00
     2308     6446  0.340697E+02  0.344238E+02  0.816395E-01  0.779554E+02  0.109966E+00  0.498474E+00
     2423     6214  0.365734E+02  0.369129E+02  0.106432E+00  0.785736E+02  0.112440E+00  0.494459E+00
     2544     6024  0.390038E+02  0.395175E+02  0.182044E+00  0.787619E+02  0.114321E+00  0.494229E+00
     2671     5849  0.417605E+02  0.424283E+02  0.221914E+00  0.787657E+02  0.116009E+00  0.494058E+00
     2804     5685  0.446579E+02  0.453689E+02  0.264222E+00  0.793908E+02  0.118121E+00  0.497223E+00
     2944     5526  0.478878E+02  0.485895E+02  0.218583E+00  0.797117E+02  0.120068E+00  0.495455E+00
     3091     5369  0.519480E+02  0.525175E+02  0.190019E+00  0.796988E+02  0.121809E+00  0.487316E+00
     3245     5224  0.558848E+02  0.567608E+02  0.137894E+00  0.798097E+02  0.123588E+00  0.491527E+00
     3407     5066  0.607278E+02  0.621586E+02  0.145815E+00  0.797540E+02  0.125454E+00  0.475308E+00
     3577     4921  0.658529E+02  0.672551E+02  0.125087E+00  0.799601E+02  0.127458E+00  0.476446E+00
     3755     4794  0.718442E+02  0.742400E+02  0.102704E+00  0.801436E+02  0.129288E+00  0.467621E+00
     3942     4690  0.772964E+02  0.801132E+02  0.106452E+00  0.801077E+02  0.130683E+00  0.464583E+00
     4139     4574  0.842667E+02  0.867871E+02  0.104189E+00  0.801772E+02  0.132388E+00  0.459862E+00
     4345     4432  0.924646E+02  0.937101E+02  0.477333E-01  0.808967E+02  0.135101E+00  0.452966E+00
     4562     4334  0.101036E+03  0.103042E+03  0.226020E-01  0.812796E+02  0.136945E+00  0.432991E+00
     4790     4245  0.110463E+03  0.111987E+03 -0.251072E-01  0.812532E+02  0.138350E+00  0.435837E+00
     5029     4164  0.121409E+03  0.123665E+03 -0.761775E-01  0.811391E+02  0.139587E+00  0.434178E+00
     5280     4082  0.133645E+03  0.135256E+03 -0.152026E+00  0.806216E+02  0.140516E+00  0.411585E+00
     5544     4000  0.147786E+03  0.149072E+03 -0.107695E+00  0.807019E+02  0.142030E+00  0.400153E+00
     5821     3937  0.163131E+03  0.163827E+03 -0.153841E+00  0.806566E+02  0.143111E+00  0.394605E+00
     6112     3865  0.181361E+03  0.181293E+03 -0.111591E+00  0.805425E+02  0.144346E+00  0.379185E+00
     6417     3802  0.201955E+03  0.201245E+03 -0.731885E-01  0.802611E+02  0.145289E+00  0.365528E+00
     6737     3749  0.225577E+03  0.225550E+03 -0.137668E+00  0.809453E+02  0.146922E+00  0.354811E+00
     7073     3702  0.253120E+03  0.253794E+03 -0.673495E-01  0.811372E+02  0.148040E+00  0.360637E+00
     7426     3653  0.286888E+03  0.287104E+03 -0.640516E-01  0.805475E+02  0.148488E+00  0.318938E+00
     7797     3608  0.324567E+03  0.323804E+03 -0.454654E-01  0.806840E+02  0.149539E+00  0.322403E+00
     8186     3561  0.368612E+03  0.367853E+03 -0.483509E-01  0.805648E+02  0.150411E+00  0.294625E+00
     8595     3526  0.422274E+03  0.422272E+03 -0.643026E-01  0.805195E+02  0.151112E+00  0.294122E+00
     9024     3499  0.483724E+03  0.485827E+03 -0.273720E-01  0.802010E+02  0.151397E+00  0.275656E+00
     9475     3474  0.558177E+03  0.561886E+03 -0.157450E-01  0.803577E+02  0.152089E+00  0.255446E+00
     9948     3454  0.645960E+03  0.651980E+03 -0.233006E-01  0.808393E+02  0.152985E+00  0.257112E+00
    10445     3424  0.756307E+03  0.763305E+03  0.348165E-01  0.808413E+02  0.153655E+00  0.235313E+00
    10967     3407  0.888560E+03  0.895717E+03  0.673329E-01  0.810430E+02  0.154227E+00  0.223060E+00
    11515     3381  0.105235E+04  0.105659E+04  0.119291E-01  0.809403E+02  0.154725E+00  0.213025E+00
    12090     3364  0.125605E+04  0.125996E+04  0.123248E-01  0.811418E+02  0.155308E+00  0.203899E+00
    12694     3348  0.151182E+04  0.151866E+04  0.149958E-01  0.807648E+02  0.155317E+00  0.187295E+00
    13328     3334  0.183739E+04  0.184452E+04  0.154218E-01  0.807638E+02  0.155641E+00  0.174247E+00
    13994     3323  0.224504E+04  0.224705E+04  0.266942E-01  0.811923E+02  0.156311E+00  0.161683E+00
    14693     3312  0.278043E+04  0.278495E+04  0.192651E-01  0.810666E+02  0.156450E+00  0.156151E+00
    15427     3306  0.348136E+04  0.348636E+04  0.277662E-01  0.808821E+02  0.156413E+00  0.131128E+00
    16198     3304  0.438954E+04  0.440708E+04  0.365390E-01  0.808177E+02  0.156397E+00  0.117489E+00
    16384     3303  0.464144E+04  0.466146E+04  0.367874E-01  0.809757E+02  0.156574E+00  0.123755E+00
