
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
       85    60226  0.184533E+01  0.124133E+01 -0.102103E-02  0.729584E+01  0.110064E-01  0.375913E-01
       89    58960  0.188334E+01  0.128608E+01 -0.369394E-02  0.751470E+01  0.112895E-01  0.390626E-01
       93    57783  0.192482E+01  0.132972E+01  0.303463E-02  0.770358E+01  0.115464E-01  0.407265E-01
       97    56642  0.196720E+01  0.137474E+01  0.781995E-02  0.789911E+01  0.118091E-01  0.417931E-01
      101    55565  0.200461E+01  0.141517E+01  0.446216E-02  0.810471E+01  0.120772E-01  0.432531E-01
      106    54272  0.205749E+01  0.147482E+01 -0.280135E-02  0.834376E+01  0.123992E-01  0.444206E-01
      111    53068  0.210782E+01  0.152936E+01 -0.186890E-02  0.859205E+01  0.127242E-01  0.464201E-01
      116    51885  0.215700E+01  0.158100E+01 -0.159490E-02  0.884986E+01  0.130601E-01  0.480234E-01
      121    50765  0.220672E+01  0.163389E+01 -0.145570E-02  0.909683E+01  0.133864E-01  0.501405E-01
      127    49415  0.226777E+01  0.169444E+01  0.125194E-02  0.937095E+01  0.137709E-01  0.519563E-01
      133    48266  0.232926E+01  0.175622E+01 -0.870010E-02  0.963620E+01  0.141296E-01  0.539559E-01
      139    47141  0.238992E+01  0.182404E+01 -0.218660E-03  0.998082E+01  0.145507E-01  0.562746E-01
      145    45997  0.245570E+01  0.188867E+01 -0.109549E-02  0.102781E+02  0.149483E-01  0.586319E-01
      152    44832  0.252824E+01  0.196100E+01 -0.431627E-02  0.106598E+02  0.154198E-01  0.614318E-01
      159    43685  0.260440E+01  0.203624E+01  0.724214E-03  0.110341E+02  0.158929E-01  0.645383E-01
      166    42563  0.267895E+01  0.211578E+01 -0.725943E-02  0.113835E+02  0.163539E-01  0.668794E-01
      174    41339  0.276003E+01  0.219789E+01 -0.194116E-01  0.118505E+02  0.169310E-01  0.701941E-01
      182    40215  0.283630E+01  0.227612E+01 -0.193256E-01  0.122946E+02  0.174846E-01  0.738145E-01
      191    39031  0.293380E+01  0.238060E+01 -0.271175E-01  0.127410E+02  0.180669E-01  0.776709E-01
      200    37855  0.303733E+01  0.248700E+01 -0.208715E-01  0.132746E+02  0.187259E-01  0.814648E-01
      210    36664  0.314199E+01  0.259437E+01 -0.744061E-02  0.137127E+02  0.193393E-01  0.851165E-01
      220    35556  0.324916E+01  0.271070E+01 -0.123238E-01  0.142889E+02  0.200466E-01  0.906138E-01
      231    34394  0.336887E+01  0.283282E+01 -0.268312E-01  0.147690E+02  0.207216E-01  0.941249E-01
      242    33369  0.348129E+01  0.295576E+01 -0.308856E-01  0.153103E+02  0.214194E-01  0.982288E-01
      254    32286  0.360131E+01  0.307871E+01 -0.286720E-01  0.159305E+02  0.222124E-01  0.104532E+00
      266    31204  0.373760E+01  0.320189E+01 -0.244336E-01  0.166542E+02  0.231019E-01  0.110685E+00
      279    30194  0.387786E+01  0.335023E+01 -0.370178E-01  0.172964E+02  0.239332E-01  0.115293E+00
      292    29287  0.400819E+01  0.347146E+01 -0.357294E-01  0.179958E+02  0.247875E-01  0.120722E+00
      306    28320  0.416066E+01  0.362578E+01 -0.426742E-01  0.187358E+02  0.257198E-01  0.126673E+00
      321    27350  0.432995E+01  0.378790E+01 -0.313406E-01  0.195494E+02  0.267348E-01  0.134052E+00
      337    26402  0.449992E+01  0.395246E+01 -0.247408E-01  0.204694E+02  0.278438E-01  0.142554E+00
      353    25521  0.467928E+01  0.411644E+01 -0.201305E-01  0.211921E+02  0.288160E-01  0.150070E+00
      370    24646  0.487832E+01  0.431776E+01 -0.182731E-01  0.221007E+02  0.299451E-01  0.157935E+00
      388    23776  0.508626E+01  0.450179E+01 -0.272261E-01  0.230521E+02  0.311372E-01  0.165091E+00
      407    22974  0.529607E+01  0.472850E+01 -0.355548E-01  0.240422E+02  0.323488E-01  0.173784E+00
      427    22161  0.554591E+01  0.498697E+01 -0.304479E-01  0.250129E+02  0.335954E-01  0.182394E+00
      448    21386  0.580277E+01  0.525110E+01 -0.345457E-01  0.261186E+02  0.349462E-01  0.192634E+00
      470    20666  0.606455E+01  0.554470E+01 -0.212537E-01  0.272534E+02  0.363143E-01  0.203550E+00
      493    19940  0.634614E+01  0.583203E+01 -0.292093E-01  0.284937E+02  0.378012E-01  0.213914E+00
      517    19213  0.662177E+01  0.608165E+01 -0.481786E-01  0.296600E+02  0.392890E-01  0.225067E+00
      542    18556  0.692299E+01  0.635462E+01 -0.313264E-01  0.309399E+02  0.408329E-01  0.238579E+00
      569    17887  0.723900E+01  0.665091E+01 -0.389874E-01  0.321612E+02  0.424021E-01  0.246757E+00
      597    17235  0.757134E+01  0.696255E+01 -0.450599E-01  0.333893E+02  0.440134E-01  0.256944E+00
      626    16629  0.789861E+01  0.726441E+01 -0.504581E-01  0.347553E+02  0.457153E-01  0.268696E+00
      657    16049  0.830114E+01  0.768659E+01 -0.405369E-01  0.361400E+02  0.474526E-01  0.278928E+00
      689    15463  0.868370E+01  0.808968E+01  0.643649E-02  0.376213E+02  0.493253E-01  0.292212E+00
      723    14924  0.909702E+01  0.852119E+01 -0.188489E-01  0.391869E+02  0.512420E-01  0.306562E+00
      759    14364  0.950738E+01  0.893118E+01  0.114091E-01  0.405421E+02  0.531269E-01  0.317434E+00
      796    13832  0.997759E+01  0.929819E+01 -0.805911E-02  0.423393E+02  0.553260E-01  0.331349E+00
      835    13360  0.104287E+02  0.969303E+01 -0.147513E-01  0.438271E+02  0.572753E-01  0.345337E+00
      876    12870  0.109545E+02  0.102265E+02 -0.238314E-01  0.455890E+02  0.595166E-01  0.358151E+00
      919    12405  0.114918E+02  0.108322E+02 -0.273896E-01  0.471416E+02  0.616454E-01  0.370543E+00
      964    11984  0.120762E+02  0.114635E+02 -0.177285E-01  0.486319E+02  0.637028E-01  0.379402E+00
     1012    11540  0.127267E+02  0.120837E+02 -0.217363E-01  0.502433E+02  0.659833E-01  0.390167E+00
     1062    11117  0.134346E+02  0.128031E+02  0.231333E-01  0.514012E+02  0.679971E-01  0.395606E+00
     1115    10735  0.141453E+02  0.133809E+02  0.124009E-01  0.530596E+02  0.703041E-01  0.408305E+00
     1170    10352  0.148654E+02  0.141651E+02  0.439005E-01  0.547241E+02  0.727059E-01  0.422959E+00
     1228     9970  0.156534E+02  0.149403E+02  0.474683E-01  0.559717E+02  0.749252E-01  0.431476E+00
     1289     9641  0.164950E+02  0.157663E+02  0.757723E-01  0.575709E+02  0.772714E-01  0.444584E+00
     1353     9270  0.175708E+02  0.167350E+02  0.765633E-01  0.588943E+02  0.797031E-01  0.450037E+00
     1420     8957  0.185962E+02  0.177406E+02  0.612838E-01  0.598538E+02  0.817431E-01  0.457439E+00
     1491     8670  0.196311E+02  0.189496E+02  0.741612E-01  0.608002E+02  0.837382E-01  0.460997E+00
     1565     8368  0.208164E+02  0.201797E+02  0.639218E-01  0.627363E+02  0.865833E-01  0.475795E+00
     1643     8102  0.219821E+02  0.215626E+02  0.460130E-01  0.637116E+02  0.886760E-01  0.476732E+00
     1725     7825  0.234528E+02  0.230536E+02  0.397943E-01  0.651826E+02  0.912679E-01  0.487508E+00
     1811     7577  0.249363E+02  0.246325E+02  0.123589E-01  0.663095E+02  0.935489E-01  0.493874E+00
     1901     7337  0.264515E+02  0.263893E+02  0.326596E-01  0.671887E+02  0.956941E-01  0.494485E+00
     1996     7084  0.281707E+02  0.281421E+02  0.528059E-01  0.681422E+02  0.980753E-01  0.501013E+00
     2095     6869  0.300128E+02  0.302509E+02  0.767115E-01  0.690577E+02  0.100263E+00  0.499346E+00
     2199     6656  0.319507E+02  0.322137E+02  0.594303E-01  0.697492E+02  0.102365E+00  0.502212E+00
     2308     6446  0.340697E+02  0.344238E+02  0.406208E-01  0.705947E+02  0.104649E+00  0.504488E+00
     2423     6214  0.365734E+02  0.369129E+02  0.771909E-01  0.714453E+02  0.107222E+00  0.505995E+00
     2544     6024  0.390038E+02  0.395175E+02  0.132429E+00  0.719836E+02  0.109300E+00  0.498598E+00
     2671     5849  0.417605E+02  0.424283E+02  0.172269E+00  0.721032E+02  0.111006E+00  0.497550E+00
     2804     5685  0.446579E+02  0.453689E+02  0.200974E+00  0.731503E+02  0.113403E+00  0.502502E+00
     2944     5526  0.478878E+02  0.485895E+02  0.185878E+00  0.735726E+02  0.115359E+00  0.498662E+00
     3091     5369  0.519480E+02  0.525175E+02  0.176245E+00  0.742388E+02  0.117565E+00  0.496711E+00
     3245     5224  0.558848E+02  0.567608E+02  0.129349E+00  0.747201E+02  0.119583E+00  0.499036E+00
     3407     5066  0.607278E+02  0.621586E+02  0.161579E+00  0.750576E+02  0.121700E+00  0.492992E+00
     3577     4921  0.658529E+02  0.672551E+02  0.121141E+00  0.754778E+02  0.123834E+00  0.490220E+00
     3755     4794  0.718442E+02  0.742400E+02  0.109007E+00  0.761984E+02  0.126064E+00  0.486228E+00
     3942     4690  0.772964E+02  0.801132E+02  0.106811E+00  0.763043E+02  0.127543E+00  0.485689E+00
     4139     4574  0.842667E+02  0.867871E+02  0.941915E-01  0.762973E+02  0.129146E+00  0.479254E+00
     4345     4432  0.924646E+02  0.937101E+02  0.408285E-01  0.768857E+02  0.131710E+00  0.475109E+00
     4562     4334  0.101036E+03  0.103042E+03  0.114458E-01  0.771837E+02  0.133450E+00  0.464690E+00
     4790     4245  0.110463E+03  0.111987E+03 -0.496947E-01  0.772510E+02  0.134898E+00  0.453724E+00
     5029     4164  0.121409E+03  0.123665E+03 -0.895966E-01  0.772860E+02  0.136230E+00  0.443066E+00
     5280     4082  0.133645E+03  0.135256E+03 -0.135398E+00  0.768339E+02  0.137179E+00  0.432685E+00
     5544     4000  0.147786E+03  0.149072E+03 -0.111759E+00  0.766452E+02  0.138413E+00  0.420687E+00
     5821     3937  0.163131E+03  0.163827E+03 -0.166983E+00  0.762020E+02  0.139098E+00  0.419649E+00
     6112     3865  0.181361E+03  0.181293E+03 -0.129470E+00  0.764680E+02  0.140643E+00  0.401892E+00
     6417     3802  0.201955E+03  0.201245E+03 -0.683213E-01  0.766870E+02  0.142017E+00  0.376212E+00
     6737     3749  0.225577E+03  0.225550E+03 -0.115415E+00  0.771553E+02  0.143446E+00  0.376773E+00
     7073     3702  0.253120E+03  0.253794E+03 -0.499065E-01  0.767885E+02  0.144020E+00  0.375148E+00
     7426     3653  0.286888E+03  0.287104E+03 -0.466602E-01  0.766352E+02  0.144838E+00  0.340541E+00
     7797     3608  0.324567E+03  0.323804E+03 -0.133518E-01  0.765312E+02  0.145642E+00  0.337814E+00
     8186     3561  0.368612E+03  0.367853E+03 -0.404098E-01  0.765555E+02  0.146621E+00  0.314627E+00
     8595     3526  0.422274E+03  0.422272E+03 -0.739493E-01  0.766971E+02  0.147480E+00  0.311561E+00
     9024     3499  0.483724E+03  0.485827E+03 -0.280148E-01  0.766159E+02  0.147974E+00  0.297335E+00
     9475     3474  0.558177E+03  0.561886E+03 -0.844963E-02  0.766012E+02  0.148492E+00  0.279581E+00
     9948     3454  0.645960E+03  0.651980E+03 -0.121195E-01  0.768709E+02  0.149183E+00  0.267719E+00
    10445     3424  0.756307E+03  0.763305E+03  0.393346E-01  0.770958E+02  0.150053E+00  0.251882E+00
    10967     3407  0.888560E+03  0.895717E+03  0.828530E-01  0.773635E+02  0.150683E+00  0.241083E+00
    11515     3381  0.105235E+04  0.105659E+04  0.419497E-01  0.771053E+02  0.151013E+00  0.215373E+00
    12090     3364  0.125605E+04  0.125996E+04  0.352316E-01  0.771692E+02  0.151457E+00  0.213689E+00
    12694     3348  0.151182E+04  0.151866E+04  0.254072E-01  0.768862E+02  0.151541E+00  0.192946E+00
    13328     3334  0.183739E+04  0.184452E+04  0.320815E-01  0.770197E+02  0.151990E+00  0.183891E+00
    13994     3323  0.224504E+04  0.224705E+04  0.402556E-01  0.772356E+02  0.152454E+00  0.176803E+00
    14693     3312  0.278043E+04  0.278495E+04  0.278455E-01  0.771400E+02  0.152613E+00  0.167699E+00
    15427     3306  0.348136E+04  0.348636E+04  0.438557E-01  0.770011E+02  0.152613E+00  0.140548E+00
    16198     3304  0.438954E+04  0.440708E+04  0.677611E-01  0.769418E+02  0.152598E+00  0.131072E+00
    16384     3303  0.464144E+04  0.466146E+04  0.747701E-01  0.770489E+02  0.152726E+00  0.133095E+00
