 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight=  -2.00000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.00000000000000     
 NT=     33554432
 L=   40000.0000000000     
 DECAYFACTOR=   0.999000499833375     
 NWALKERS_PER_SET=          64
 NSETS=          32
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=    33554432
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=       200000
 ==================================
    time         <r^2>         <r^4>
         1   0.102374E+01   0.320364E+01
         2   0.215693E+01   0.136609E+02
         3   0.322024E+01   0.300397E+02
         4   0.444349E+01   0.582014E+02
         5   0.555933E+01   0.877160E+02
         6   0.686353E+01   0.127909E+03
         7   0.808119E+01   0.178474E+03
         8   0.928761E+01   0.229284E+03
        10   0.114306E+02   0.329619E+03
        12   0.141615E+02   0.513723E+03
        14   0.168598E+02   0.740998E+03
        17   0.206581E+02   0.110407E+04
        20   0.243690E+02   0.150197E+04
        24   0.301357E+02   0.229209E+04
        29   0.373990E+02   0.359394E+04
        34   0.449095E+02   0.506622E+04
        40   0.528723E+02   0.695039E+04
        48   0.672274E+02   0.110778E+05
        57   0.821627E+02   0.158120E+05
        68   0.995648E+02   0.221986E+05
        81   0.122510E+03   0.332263E+05
        96   0.148529E+03   0.481463E+05
       114   0.178658E+03   0.684074E+05
       136   0.209655E+03   0.950961E+05
       162   0.258529E+03   0.144547E+06
       193   0.321653E+03   0.219564E+06
       230   0.401659E+03   0.335548E+06
       274   0.491655E+03   0.483182E+06
       326   0.615166E+03   0.768990E+06
       388   0.739218E+03   0.109744E+07
       461   0.914956E+03   0.166739E+07
       548   0.111129E+04   0.241916E+07
       652   0.138463E+04   0.380129E+07
       775   0.171676E+04   0.579239E+07
       922   0.208238E+04   0.858227E+07
      1096   0.252075E+04   0.125613E+08
      1303   0.298781E+04   0.183662E+08
      1550   0.353255E+04   0.260257E+08
      1843   0.420953E+04   0.380783E+08
      2192   0.505746E+04   0.563295E+08
      2607   0.579937E+04   0.751784E+08
      3100   0.688360E+04   0.105498E+09
      3687   0.813899E+04   0.148088E+09
      4385   0.931051E+04   0.197788E+09
      5215   0.107205E+05   0.273113E+09
      6202   0.124651E+05   0.379147E+09
      7375   0.143619E+05   0.501943E+09
      8770   0.167357E+05   0.699584E+09
     10429   0.192386E+05   0.920430E+09
     12402   0.225072E+05   0.127483E+10
     14749   0.261372E+05   0.170747E+10
     17540   0.298303E+05   0.223762E+10
     20859   0.335700E+05   0.282218E+10
     24806   0.386420E+05   0.381870E+10
     29499   0.460983E+05   0.551764E+10
     35080   0.550141E+05   0.811045E+10
     41717   0.647248E+05   0.117728E+11
     49610   0.744239E+05   0.154138E+11
     58997   0.858049E+05   0.203650E+11
     70160   0.982953E+05   0.271478E+11
     83435   0.116621E+06   0.380062E+11
     99221   0.133703E+06   0.509128E+11
    117994   0.164056E+06   0.772418E+11
    140319   0.191722E+06   0.107840E+12
    166868   0.218836E+06   0.143160E+12
    198441   0.260119E+06   0.196628E+12
    235987   0.306759E+06   0.268758E+12
    280637   0.353529E+06   0.358029E+12
    333736   0.421187E+06   0.516391E+12
    396881   0.497817E+06   0.713226E+12
    471974   0.571772E+06   0.903438E+12
    561275   0.682843E+06   0.132093E+13
    667472   0.804920E+06   0.177681E+13
    793762   0.966993E+06   0.259009E+13
    943947   0.116382E+07   0.374960E+13
   1122548   0.138399E+07   0.541479E+13
   1334942   0.164810E+07   0.777879E+13
   1587523   0.198080E+07   0.110791E+14
   1887894   0.229507E+07   0.145639E+14
   2245097   0.282523E+07   0.219658E+14
   2669885   0.340142E+07   0.320380E+14
   3175046   0.399223E+07   0.432712E+14
   3775787   0.482431E+07   0.645119E+14
   4490193   0.572273E+07   0.933978E+14
   5339769   0.685133E+07   0.135808E+15
   6350091   0.810192E+07   0.195133E+15
   7551573   0.929817E+07   0.250398E+15
   8980384   0.109607E+08   0.338155E+15
  10679537   0.126958E+08   0.445048E+15
  12700181   0.143434E+08   0.558048E+15
  15103146   0.171581E+08   0.846352E+15
  17960769   0.209706E+08   0.128438E+16
  21359074   0.246080E+08   0.181105E+16
  25400363   0.294188E+08   0.259199E+16
  30206292   0.345828E+08   0.358536E+16
