   ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      57   0.313910E+01   0.230830E+02   0.684150E+00   0.296386E-01   0.164879E-01   0.414941E+02
      58   0.323457E+01   0.253954E+02   0.697989E+00   0.274849E-01   0.181395E-01   0.384789E+02
      59   0.333003E+01   0.279393E+02   0.711780E+00   0.254759E-01   0.199566E-01   0.356663E+02
      60   0.342550E+01   0.307381E+02   0.728840E+00   0.237113E-01   0.219558E-01   0.331958E+02
      61   0.352097E+01   0.338172E+02   0.747494E+00   0.221039E-01   0.241552E-01   0.309455E+02
      62   0.361644E+01   0.372048E+02   0.762420E+00   0.204925E-01   0.265749E-01   0.286895E+02
      63   0.371191E+01   0.409318E+02   0.778376E+00   0.190164E-01   0.292370E-01   0.266230E+02
      64   0.380737E+01   0.450321E+02   0.799322E+00   0.177501E-01   0.321658E-01   0.248501E+02
      65   0.390284E+01   0.495431E+02   0.821175E+00   0.165750E-01   0.353879E-01   0.232049E+02
      66   0.399831E+01   0.545060E+02   0.837535E+00   0.153659E-01   0.389329E-01   0.215123E+02
      67   0.409378E+01   0.599661E+02   0.859498E+00   0.143331E-01   0.428329E-01   0.200663E+02
      68   0.418925E+01   0.659731E+02   0.882438E+00   0.133757E-01   0.471237E-01   0.187260E+02
      69   0.428472E+01   0.725819E+02   0.903465E+00   0.124475E-01   0.518442E-01   0.174265E+02
      70   0.438018E+01   0.798527E+02   0.930787E+00   0.116563E-01   0.570376E-01   0.163188E+02
      71   0.447565E+01   0.878518E+02   0.954775E+00   0.108680E-01   0.627513E-01   0.152152E+02
      72   0.457112E+01   0.966523E+02   0.985432E+00   0.101956E-01   0.690374E-01   0.142739E+02
      73   0.466659E+01   0.106334E+03   0.101594E+01   0.955416E-02   0.759531E-01   0.133758E+02
      74   0.476206E+01   0.116986E+03   0.105207E+01   0.899314E-02   0.835616E-01   0.125904E+02
      75   0.485752E+01   0.128705E+03   0.108907E+01   0.846173E-02   0.919323E-01   0.118464E+02
      76   0.495299E+01   0.141598E+03   0.112177E+01   0.792220E-02   0.101141E+00   0.110911E+02
      77   0.504846E+01   0.155782E+03   0.114893E+01   0.737523E-02   0.111273E+00   0.103253E+02
      78   0.514393E+01   0.171388E+03   0.121063E+01   0.706367E-02   0.122420E+00   0.988914E+01
      79   0.523940E+01   0.188556E+03   0.127162E+01   0.674397E-02   0.134683E+00   0.944155E+01
      80   0.533486E+01   0.207445E+03   0.133361E+01   0.642873E-02   0.148175E+00   0.900022E+01
      81   0.543033E+01   0.228225E+03   0.137959E+01   0.604487E-02   0.163018E+00   0.846282E+01
      82   0.552580E+01   0.251087E+03   0.142915E+01   0.569185E-02   0.179348E+00   0.796859E+01
      83   0.562127E+01   0.276240E+03   0.152221E+01   0.551048E-02   0.197314E+00   0.771468E+01
      84   0.571674E+01   0.303912E+03   0.161035E+01   0.529873E-02   0.217080E+00   0.741822E+01
      85   0.581221E+01   0.334356E+03   0.170408E+01   0.509662E-02   0.238826E+00   0.713527E+01
      86   0.590767E+01   0.367849E+03   0.179935E+01   0.489153E-02   0.262750E+00   0.684815E+01
      87   0.600314E+01   0.404698E+03   0.190740E+01   0.471315E-02   0.289070E+00   0.659841E+01
      88   0.609861E+01   0.445238E+03   0.203045E+01   0.456037E-02   0.318027E+00   0.638452E+01
      89   0.619408E+01   0.489840E+03   0.212927E+01   0.434686E-02   0.349885E+00   0.608561E+01
      90   0.628955E+01   0.538909E+03   0.226979E+01   0.421184E-02   0.384935E+00   0.589657E+01
      91   0.638501E+01   0.592893E+03   0.242535E+01   0.409071E-02   0.423495E+00   0.572699E+01
      92   0.648048E+01   0.652286E+03   0.257993E+01   0.395521E-02   0.465918E+00   0.553729E+01
      93   0.657595E+01   0.717628E+03   0.278804E+01   0.388509E-02   0.512591E+00   0.543912E+01
      94   0.667142E+01   0.789515E+03   0.303455E+01   0.384356E-02   0.563939E+00   0.538098E+01
      95   0.676689E+01   0.868604E+03   0.340615E+01   0.392141E-02   0.620431E+00   0.548998E+01
      96   0.686236E+01   0.955615E+03   0.396884E+01   0.415318E-02   0.682582E+00   0.581445E+01
      97   0.695782E+01   0.105134E+04   0.480000E+01   0.456559E-02   0.750959E+00   0.639182E+01
      98   0.705329E+01   0.115666E+04   0.644299E+01   0.557034E-02   0.826185E+00   0.779848E+01
      99   0.714876E+01   0.127253E+04   0.107629E+02   0.845788E-02   0.908947E+00   0.118410E+02
     100   0.724423E+01   0.140000E+04   0.528209E+02   0.377292E-01   0.100000E+01   0.528209E+02
