    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x   P(ln(x))  P(x)   x/L    P(x)*L
      56   0.137396E+01   0.395098E+01   0.512653E-01   0.129753E-01   0.556476E-01   0.921249E+00
      57   0.143962E+01   0.421908E+01   0.557752E-01   0.132198E-01   0.594236E-01   0.938604E+00
      58   0.150527E+01   0.450536E+01   0.605793E-01   0.134460E-01   0.634558E-01   0.954668E+00
      59   0.157092E+01   0.481108E+01   0.656905E-01   0.136540E-01   0.677617E-01   0.969435E+00
      60   0.163657E+01   0.513754E+01   0.711057E-01   0.138404E-01   0.723597E-01   0.982670E+00
      61   0.170223E+01   0.548615E+01   0.768448E-01   0.140070E-01   0.772697E-01   0.994501E+00
      62   0.176788E+01   0.585842E+01   0.829040E-01   0.141513E-01   0.825129E-01   0.100474E+01
      63   0.183353E+01   0.625594E+01   0.893552E-01   0.142833E-01   0.881119E-01   0.101411E+01
      64   0.189918E+01   0.668044E+01   0.961213E-01   0.143885E-01   0.940908E-01   0.102158E+01
      65   0.196484E+01   0.713375E+01   0.103291E+00   0.144792E-01   0.100475E+00   0.102802E+01
      66   0.203049E+01   0.761782E+01   0.110875E+00   0.145546E-01   0.107293E+00   0.103338E+01
      67   0.209614E+01   0.813473E+01   0.118875E+00   0.146132E-01   0.114574E+00   0.103754E+01
      68   0.216180E+01   0.868672E+01   0.127357E+00   0.146612E-01   0.122348E+00   0.104094E+01
      69   0.222745E+01   0.927616E+01   0.136352E+00   0.146992E-01   0.130650E+00   0.104364E+01
      70   0.229310E+01   0.990560E+01   0.145863E+00   0.147253E-01   0.139516E+00   0.104549E+01
      71   0.235875E+01   0.105778E+02   0.155960E+00   0.147442E-01   0.148982E+00   0.104684E+01
      72   0.242441E+01   0.112955E+02   0.166687E+00   0.147569E-01   0.159092E+00   0.104774E+01
      73   0.249006E+01   0.120620E+02   0.178094E+00   0.147649E-01   0.169887E+00   0.104831E+01
      74   0.255571E+01   0.128805E+02   0.190268E+00   0.147718E-01   0.181415E+00   0.104880E+01
      75   0.262136E+01   0.137545E+02   0.203225E+00   0.147752E-01   0.193725E+00   0.104904E+01
      76   0.268702E+01   0.146878E+02   0.217027E+00   0.147760E-01   0.206870E+00   0.104910E+01
      77   0.275267E+01   0.156844E+02   0.231777E+00   0.147775E-01   0.220908E+00   0.104920E+01
      78   0.281832E+01   0.167487E+02   0.247521E+00   0.147785E-01   0.235897E+00   0.104928E+01
      79   0.288397E+01   0.178852E+02   0.264364E+00   0.147811E-01   0.251904E+00   0.104946E+01
      80   0.294963E+01   0.190988E+02   0.282374E+00   0.147849E-01   0.268998E+00   0.104973E+01
      81   0.301528E+01   0.203948E+02   0.301530E+00   0.147847E-01   0.287251E+00   0.104971E+01
      82   0.308093E+01   0.217787E+02   0.322020E+00   0.147860E-01   0.306742E+00   0.104981E+01
      83   0.314658E+01   0.232565E+02   0.343956E+00   0.147897E-01   0.327556E+00   0.105007E+01
      84   0.321224E+01   0.248346E+02   0.367339E+00   0.147914E-01   0.349783E+00   0.105019E+01
      85   0.327789E+01   0.265198E+02   0.392236E+00   0.147903E-01   0.373518E+00   0.105011E+01
      86   0.334354E+01   0.283193E+02   0.418937E+00   0.147934E-01   0.398863E+00   0.105033E+01
      87   0.340920E+01   0.302409E+02   0.447446E+00   0.147960E-01   0.425928E+00   0.105052E+01
      88   0.347485E+01   0.322929E+02   0.477891E+00   0.147986E-01   0.454830E+00   0.105070E+01
      89   0.354050E+01   0.344842E+02   0.510588E+00   0.148065E-01   0.485693E+00   0.105126E+01
      90   0.360615E+01   0.368241E+02   0.545251E+00   0.148069E-01   0.518650E+00   0.105129E+01
      91   0.367181E+01   0.393229E+02   0.582351E+00   0.148095E-01   0.553843E+00   0.105147E+01
      92   0.373746E+01   0.419911E+02   0.622173E+00   0.148168E-01   0.591425E+00   0.105199E+01
      93   0.380311E+01   0.448405E+02   0.664312E+00   0.148150E-01   0.631556E+00   0.105187E+01
      94   0.386876E+01   0.478832E+02   0.709184E+00   0.148107E-01   0.674411E+00   0.105156E+01
      95   0.393442E+01   0.511323E+02   0.756974E+00   0.148042E-01   0.720173E+00   0.105110E+01
      96   0.400007E+01   0.546019E+02   0.808189E+00   0.148015E-01   0.769041E+00   0.105090E+01
      97   0.406572E+01   0.583070E+02   0.862320E+00   0.147893E-01   0.821225E+00   0.105004E+01
      98   0.413137E+01   0.622635E+02   0.912102E+00   0.146491E-01   0.876950E+00   0.104008E+01
      99   0.419703E+01   0.664884E+02   0.871618E+00   0.131093E-01   0.936456E+00   0.930762E+00
     100   0.426268E+01   0.710000E+02   0.255712E+00   0.360158E-02   0.100000E+01   0.255712E+00
