    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x P(ln(x))  P(x)   x/L    P(x)*L
      84   0.261808E+01   0.137094E+02   0.525131E+00   0.383046E-01   0.391696E+00   0.134066E+01
      85   0.267666E+01   0.145364E+02   0.557480E+00   0.383506E-01   0.415327E+00   0.134227E+01
      86   0.273524E+01   0.154134E+02   0.590987E+00   0.383424E-01   0.440383E+00   0.134198E+01
      87   0.279382E+01   0.163433E+02   0.626528E+00   0.383355E-01   0.466951E+00   0.134174E+01
      88   0.285240E+01   0.173293E+02   0.665154E+00   0.383833E-01   0.495122E+00   0.134342E+01
      89   0.291098E+01   0.183747E+02   0.705953E+00   0.384198E-01   0.524992E+00   0.134469E+01
      90   0.296955E+01   0.194832E+02   0.748563E+00   0.384209E-01   0.556664E+00   0.134473E+01
      91   0.302813E+01   0.206586E+02   0.794365E+00   0.384520E-01   0.590247E+00   0.134582E+01
      92   0.308671E+01   0.219050E+02   0.842258E+00   0.384506E-01   0.625856E+00   0.134577E+01
      93   0.314529E+01   0.232265E+02   0.891782E+00   0.383951E-01   0.663614E+00   0.134383E+01
      94   0.320387E+01   0.246277E+02   0.935857E+00   0.380002E-01   0.703649E+00   0.133001E+01
      95   0.326245E+01   0.261135E+02   0.958670E+00   0.367117E-01   0.746099E+00   0.128491E+01
      96   0.332103E+01   0.276889E+02   0.928324E+00   0.335270E-01   0.791111E+00   0.117344E+01
      97   0.337961E+01   0.293593E+02   0.796482E+00   0.271288E-01   0.838838E+00   0.949506E+00
      98   0.343819E+01   0.311305E+02   0.528772E+00   0.169856E-01   0.889444E+00   0.594497E+00
      99   0.349677E+01   0.330086E+02   0.203715E+00   0.617158E-02   0.943103E+00   0.216005E+00
     100   0.355535E+01   0.350000E+02   0.215494E-01   0.615698E-03   0.100000E+01   0.215494E-01
