 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force=  -1.0000000000000000     
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.3000000000000000     
 NT=     67108864
 L=   1000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          60
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.996114E+00   0.299064E+01
         2   0.163056E+01   0.764048E+01
         3   0.225833E+01   0.148915E+02
         4   0.279970E+01   0.230111E+02
         5   0.327632E+01   0.310330E+02
         6   0.377903E+01   0.398043E+02
         7   0.427646E+01   0.509344E+02
         8   0.475508E+01   0.619688E+02
        10   0.567402E+01   0.864735E+02
        12   0.669855E+01   0.120630E+03
        14   0.768080E+01   0.154987E+03
        17   0.926633E+01   0.220376E+03
        20   0.107343E+02   0.287533E+03
        24   0.130419E+02   0.410731E+03
        29   0.157450E+02   0.575959E+03
        34   0.186618E+02   0.769839E+03
        40   0.217402E+02   0.101829E+04
        48   0.270704E+02   0.153527E+04
        57   0.334700E+02   0.227980E+04
        68   0.411571E+02   0.325869E+04
        81   0.510379E+02   0.479962E+04
        96   0.637150E+02   0.721065E+04
       114   0.795115E+02   0.108600E+05
       136   0.995492E+02   0.165612E+05
       162   0.126516E+03   0.258931E+05
       193   0.162782E+03   0.416528E+05
       230   0.208225E+03   0.667477E+05
       274   0.264561E+03   0.105527E+06
       326   0.338910E+03   0.170951E+06
       388   0.432620E+03   0.275591E+06
       461   0.551021E+03   0.443123E+06
       548   0.711515E+03   0.728557E+06
       652   0.908541E+03   0.118061E+07
       775   0.116152E+04   0.191837E+07
       922   0.147832E+04   0.309736E+07
      1096   0.187736E+04   0.498173E+07
      1303   0.238648E+04   0.805876E+07
      1550   0.303257E+04   0.130023E+08
      1843   0.386119E+04   0.211072E+08
      2192   0.490021E+04   0.341497E+08
      2607   0.619414E+04   0.545702E+08
      3100   0.785901E+04   0.879460E+08
      3687   0.994386E+04   0.141326E+09
      4385   0.125282E+05   0.223876E+09
      5215   0.158225E+05   0.358066E+09
      6202   0.199379E+05   0.568562E+09
      7375   0.250816E+05   0.902876E+09
      8770   0.316520E+05   0.144308E+10
     10429   0.397384E+05   0.227773E+10
     12402   0.501293E+05   0.362950E+10
     14749   0.630748E+05   0.576231E+10
     17540   0.793855E+05   0.914386E+10
     20859   0.998868E+05   0.144989E+11
     24806   0.125965E+06   0.230660E+11
     29499   0.158532E+06   0.364954E+11
     35080   0.199705E+06   0.579640E+11
     41717   0.252003E+06   0.922752E+11
     49610   0.317074E+06   0.146147E+12
     58997   0.399169E+06   0.231575E+12
     70160   0.502411E+06   0.367223E+12
     83435   0.633416E+06   0.583633E+12
     99221   0.797368E+06   0.924445E+12
    117994   0.100628E+07   0.147284E+13
    140319   0.126730E+07   0.233585E+13
    166868   0.159987E+07   0.371642E+13
    198441   0.201627E+07   0.589843E+13
    235987   0.253758E+07   0.933161E+13
    280637   0.319426E+07   0.147896E+14
    333736   0.402693E+07   0.234815E+14
    396881   0.508938E+07   0.375822E+14
    471974   0.642262E+07   0.598928E+14
    561275   0.811278E+07   0.956493E+14
    667472   0.102036E+08   0.151249E+15
    793762   0.128378E+08   0.240081E+15
    943947   0.161571E+08   0.381200E+15
   1122548   0.203067E+08   0.602933E+15
   1334942   0.254850E+08   0.950909E+15
   1587523   0.320398E+08   0.150270E+16
   1887894   0.402745E+08   0.237028E+16
   2245097   0.507878E+08   0.376999E+16
   2669885   0.639136E+08   0.597276E+16
   3175046   0.804126E+08   0.943748E+16
   3775787   0.101214E+09   0.149187E+17
   4490193   0.127703E+09   0.237113E+17
   5339769   0.160903E+09   0.376902E+17
   6350091   0.202672E+09   0.598263E+17
   7551573   0.255845E+09   0.953445E+17
   8980384   0.322664E+09   0.151601E+18
  10679537   0.406826E+09   0.240885E+18
  12700181   0.513228E+09   0.384184E+18
  15103146   0.644266E+09   0.605603E+18
  17960769   0.812262E+09   0.962822E+18
  21359074   0.102317E+10   0.152532E+19
  25400363   0.128671E+10   0.241125E+19
  30206292   0.161898E+10   0.382000E+19
  35921537   0.203713E+10   0.604203E+19
  42718147   0.257141E+10   0.960264E+19
  50800724   0.324898E+10   0.153296E+20
  60412582   0.410864E+10   0.245473E+20
