    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x   P(ln(x))  P(x)   x/L    P(x)*L
      53   0.117701E+01   0.324464E+01   0.361210E-01   0.111325E-01   0.456992E-01   0.790407E+00
      54   0.124266E+01   0.346481E+01   0.397405E-01   0.114697E-01   0.488002E-01   0.814352E+00
      55   0.130831E+01   0.369992E+01   0.436456E-01   0.117964E-01   0.521115E-01   0.837542E+00
      56   0.137396E+01   0.395098E+01   0.478670E-01   0.121152E-01   0.556476E-01   0.860181E+00
      57   0.143962E+01   0.421908E+01   0.524054E-01   0.124211E-01   0.594236E-01   0.881895E+00
      58   0.150527E+01   0.450536E+01   0.572815E-01   0.127141E-01   0.634558E-01   0.902699E+00
      59   0.157092E+01   0.481108E+01   0.624915E-01   0.129891E-01   0.677617E-01   0.922226E+00
      60   0.163657E+01   0.513754E+01   0.680656E-01   0.132487E-01   0.723597E-01   0.940656E+00
      61   0.170223E+01   0.548615E+01   0.740173E-01   0.134917E-01   0.772697E-01   0.957908E+00
      62   0.176788E+01   0.585842E+01   0.803468E-01   0.137148E-01   0.825129E-01   0.973748E+00
      63   0.183353E+01   0.625594E+01   0.870764E-01   0.139190E-01   0.881119E-01   0.988248E+00
      64   0.189918E+01   0.668044E+01   0.941907E-01   0.140995E-01   0.940908E-01   0.100106E+01
      65   0.196484E+01   0.713375E+01   0.101753E+00   0.142636E-01   0.100475E+00   0.101272E+01
      66   0.203049E+01   0.761782E+01   0.109730E+00   0.144043E-01   0.107293E+00   0.102271E+01
      67   0.209614E+01   0.813473E+01   0.118176E+00   0.145274E-01   0.114574E+00   0.103144E+01
      68   0.216180E+01   0.868672E+01   0.127099E+00   0.146314E-01   0.122348E+00   0.103883E+01
      69   0.222745E+01   0.927616E+01   0.136520E+00   0.147173E-01   0.130650E+00   0.104493E+01
      70   0.229310E+01   0.990560E+01   0.146485E+00   0.147881E-01   0.139516E+00   0.104996E+01
      71   0.235875E+01   0.105778E+02   0.157051E+00   0.148473E-01   0.148982E+00   0.105416E+01
      72   0.242441E+01   0.112955E+02   0.168236E+00   0.148941E-01   0.159092E+00   0.105748E+01
      73   0.249006E+01   0.120620E+02   0.180082E+00   0.149297E-01   0.169887E+00   0.106001E+01
      74   0.255571E+01   0.128805E+02   0.192670E+00   0.149583E-01   0.181415E+00   0.106204E+01
      75   0.262136E+01   0.137545E+02   0.206023E+00   0.149786E-01   0.193725E+00   0.106348E+01
